Rumpun Ilmu,Nama Program Studi (Indonesia),Nama Program Studi (Inggris)
Humaniora (Seni),Seni,Arts
Humaniora (Seni),Antropologi Tari,Ethnochoreology
Humaniora (Seni),Estetika Film,Film Aesthetics
Humaniora (Seni),Etnomusikologi,Ethnomusicology
Humaniora (Seni),Film,Film
Humaniora (Seni),Film dan Televisi,Film and Television
Humaniora (Seni),Fotografi,Photography
Humaniora (Seni),Kajian Seni,Arts Studies
Humaniora (Seni),Konservasi Seni,Arts Conservation
Humaniora (Seni),Kriya,Craft
Humaniora (Seni),Musik,Music
Humaniora (Seni),Musik Film,Music Scoring
Humaniora (Seni),Sejarah Seni,Art History
Humaniora (Seni),Seni Karawitan,Karawitan Arts
Humaniora (Seni),Seni Murni,Fine Arts
Humaniora (Seni),Seni Pertunjukan,Performing Arts
Humaniora (Seni),Seni Pedalangan,Pedalangan Arts
Humaniora (Seni),Seni Rupa,Visual Arts
Humaniora (Seni),Tari,Dance
Humaniora (Seni),Tata Kelola Seni,Arts Management
Humaniora (Seni),Teater,Theatre
Humaniora (Sejarah),Sejarah,History
Humaniora (Sejarah),Kajian Sejarah,Historical Studies
Humaniora (Sejarah),Studi Pasca Kolonial,Postcolonial Studies
Humaniora (Linguistik),Linguistik,Linguistics
Humaniora (Linguistik),Bahasa Aceh,Aceh Language
Humaniora (Linguistik),Bahasa Arab,Arabic Language
Humaniora (Linguistik),Bahasa Bali,Balinese Language
Humaniora (Linguistik),Bahasa Batak,Batak Language
Humaniora (Linguistik),Bahasa Bugis,Bugis Language
Humaniora (Linguistik),Bahasa Belanda,Dutch Language
Humaniora (Linguistik),Bahasa Inggris,English Language
Humaniora (Linguistik),Bahasa Jawa,Javanese Language
Humaniora (Linguistik),Bahasa Jepang,Japanese Language
Humaniora (Linguistik),Bahasa Jerman,German Language
Humaniora (Linguistik),Bahasa Korea,Korean Language
Humaniora (Linguistik),Bahasa Mandarin,Chinese Language
Humaniora (Linguistik),Bahasa Makassar,Makassar Language
Humaniora (Linguistik),Bahasa Perancis,France Language
Humaniora (Linguistik),Bahasa Sunda,Sundanese Language
Humaniora (Linguistik),Bahasa Rusia,Russian Language
Humaniora (Linguistik),Bahasa dan Kebudayaan Aceh,Aceh Language and Culture
Humaniora (Linguistik),Bahasa dan Kebudayaan Arab,Arabic Language and Culture
Humaniora (Linguistik),Bahasa dan Kebudayaan Bali,Balinese Language and Culture
Humaniora (Linguistik),Bahasa dan Kebudayaan Batak,Batak Language and Culture
Humaniora (Linguistik),Bahasa dan Kebudayaan Belanda,Dutch Language and Culture
Humaniora (Linguistik),Bahasa dan Kebudayaan Indonesia,Indonesian Language and Culture
Humaniora (Linguistik),Bahasa dan Kebudayaan Inggris,English Language and Culture
Humaniora (Linguistik),Bahasa dan Kebudayaan Jawa,Javanese Language and Culture
Humaniora (Linguistik),Bahasa dan Kebudayaan Jepang,Japanese Language and Culture
Humaniora (Linguistik),Bahasa dan Kebudayaan Jerman,German Language and Culture
Humaniora (Linguistik),Bahasa dan Kebudayaan Korea,Korean Language and Culture
Humaniora (Linguistik),Bahasa dan Kebudayaan Perancis,France Language and Culture
Humaniora (Linguistik),Bahasa dan Kebudayaan Sunda,Sundanese Language and Culture
Humaniora (Linguistik),Bahasa dan Kebudayaan Rusia,Russian Language and Culture
Humaniora (Linguistik),Bahasa Mandarin dan Kebudayaan Tiongkok,Chinese Language and Culture
Humaniora (Linguistik),Kajian Bahasa Inggris,English Linguistic Studies
Humaniora (Linguistik),Linguistik Indonesia,Indonesian Linguistics
Humaniora (Linguistik),Linguistik Terapan,Applied Linguistics
Humaniora (Linguistik),Linguistik Terapan Bahasa Inggris,Applied English Linguistics
Humaniora (Sastra),Susastra atau Sastra,Literature
Humaniora (Sastra),Kajian Sastra dan Budaya,Literature and Cultural Studies
Humaniora (Sastra),Sastra Aceh,Aceh Literature
Humaniora (Sastra),Sastra Arab,Arabic Literature
Humaniora (Sastra),Sastra Bali,Balinese Literature
Humaniora (Sastra),Sastra Batak,Batak Literature
Humaniora (Sastra),Sastra Bugis,Bugis Literature
Humaniora (Sastra),Sastra Belanda,Dutch Literature
Humaniora (Sastra),Sastra Indonesia,Indonesian Literature
Humaniora (Sastra),Sastra Inggris,English Literature
Humaniora (Sastra),Sastra Jawa,Javanese Literature
Humaniora (Sastra),Sastra Jawa Kuno,Ancient Javanese Literature
Humaniora (Sastra),Sastra Jepang,Japanese Literature
Humaniora (Sastra),Sastra Jerman,German Literature
Humaniora (Sastra),Sastra Korea,Korean Literature
Humaniora (Sastra),Sastra Melayu,Malay Literature
Humaniora (Sastra),Sastra Minangkabau,Minangkabau Literature
Humaniora (Sastra),Sastra Sunda,Sundanese Literature
Humaniora (Sastra),Sastra Perancis,France Literature
Humaniora (Sastra),Sastra Rusia,Russian Literature
Humaniora (Sastra),Sastra Tiongkok,Chinese Literature
Humaniora (Sastra),Studi Perbandingan Literatur,Comparative Literature
Humaniora (Filsafat),Filsafat,Philosophy
Humaniora (Filsafat),Filsafat Agama,Religion Philosophy
Humaniora (Filsafat),Filsafat Buddhis,Buddhism Philosophy
Humaniora (Filsafat),Filsafat Hindu,Hinduism Philosophy
Humaniora (Filsafat),Filsafat Islam,Islam Philosophy
Humaniora (Filsafat),Filsafat Keilahian,Divinity Studies
Humaniora (Filsafat),Filsafat Kong Hu Cu,Confucianism Philosophy
Humaniora (Filsafat),Studi Perbandingan Agama,Comparative Religion
Sosial,Agama dan Budaya,Religion and Culture
Sosial,Antropologi,Anthropology
Sosial,Antropologi Budaya,Cultural Anthropology
Sosial,Antropologi Sosial,Social Anthropology
Sosial,Arkeologi,Archaeology
Sosial,Hubungan Internasional,International Relations
Sosial,Ilmu atau Sains Politik,Political Science
Sosial,Kajian Amerika,American Studies
Sosial,Kajian Aceh,Aceh Studies
Sosial,Kajian Arab,Arabic Studies
Sosial,Kajian Asia,Asian Studies
Sosial,Kajian ASEAN,ASEAN Studies
Sosial,Kajian Batak,Batak Studies
Sosial,Kajian Belanda,Dutch Studies
Sosial,Kajian Budaya,Cultural Studies
