Nama Program Studi (Inggris)
Arts
Ethnochoreology
Film Aesthetics
Ethnomusicology
Film
Film and Television
Photography
Arts Studies
Arts Conservation
Craft
Music
Music Scoring
Art History
Karawitan Arts
Fine Arts
Performing Arts
Pedalangan Arts
Visual Arts
Dance
Arts Management
Theatre
History
Historical Studies
Postcolonial Studies
Linguistics
Aceh Language
Arabic Language
Balinese Language
Batak Language
Bugis Language
Dutch Language
English Language
Javanese Language
Japanese Language
German Language
Korean Language
Chinese Language
Makassar Language
France Language
Sundanese Language
Russian Language
Aceh Language and Culture
Arabic Language and Culture
Balinese Language and Culture
Batak Language and Culture
Dutch Language and Culture
Indonesian Language and Culture
English Language and Culture
Javanese Language and Culture
Japanese Language and Culture
German Language and Culture
Korean Language and Culture
France Language and Culture
Sundanese Language and Culture
Russian Language and Culture
Chinese Language and Culture
English Linguistic Studies
Indonesian Linguistics
Applied Linguistics
Applied English Linguistics
Literature
Literature and Cultural Studies
Aceh Literature
Arabic Literature
Balinese Literature
Batak Literature
Bugis Literature
Dutch Literature
Indonesian Literature
English Literature
Javanese Literature
Ancient Javanese Literature
Japanese Literature
German Literature
Korean Literature
Malay Literature
Minangkabau Literature
Sundanese Literature
France Literature
Russian Literature
Chinese Literature
Comparative Literature
Philosophy
Religion Philosophy
Buddhism Philosophy
Hinduism Philosophy
Islam Philosophy
Divinity Studies
Confucianism Philosophy
Comparative Religion
Religion and Culture
Anthropology
Cultural Anthropology
Social Anthropology
Archaeology
International Relations
Political Science
American Studies
Aceh Studies
Arabic Studies
Asian Studies
ASEAN Studies
Batak Studies
Dutch Studies
Cultural Studies
Cultural and Media Studies
Cultural Studies and Oral Traditions
Bugis Studies
Indonesian Studies
English Studies
Java Studies
German Studies
Japan Studies
Korean Studies
Minangkabau Studies
France Studies
Woman Studies
Urban Studies
Sundanese Studies
Slavic Studies
China Studies
Middle East Studies
Islamic and Middle East Studies
European Studies
Gender Studies
Demography
Criminology
Social Development
Regional Development
Sociology
Rural Sociology
Religion Sociology
Policy Studies
Development Studies
Defense Studies
Police Science
Government Studies
Economics
Islamic Economics and Finance
Labor and Population Economics
"Economics, Finance and Banking"
Co-operative Economics
Development Economics
Resource Economics
Marine Resource Economics
Islamic Economics
Applied Economics
Islamic Finance
Microfinance
Public Finance
Peace and Conflict Resolution
Defense Diplomacy
Defense Economics
Energy Security
Maritime Defense
Disaster Management for National Security
Defense Management
Asymmetric Warfare
Military Strategy and Campaign
Land Defense Strategy
Maritime Defense Strategy
Air Defense Strategy
Total Defense Strategy
Terrorism and Security Studies
Psychology
Clinical Psychology
Applied Psychology
Chemistry
Biochemistry
Material Science
Applied Chemistry
Earth Science
Geophysics
Geology
Hydrogeology
Hydrology
Climatology
Meteorology
Oceanography
Marine Science
Biology
Animal Developmental Biology
Reproductive Biology
Applied Biology
Plant Biology
Entomology
Urban Entomology
Microbiology
Medical Microbiology
Primatology
Biophysics
Physics
Medical Physics
Astronomy
Atmospheric and Planetary Science
Computer Science or Informatics
Artificial Intelligence
Software Engineering
Computer System Engineering
Information System
Information System and Technology
Information Technology
Logic
Mathematics
Applied Mathematics
Actuarial Science
Statistics
Applied Statistics
Agricultural Science
Agribusiness
Agroecotechnology or Agrotechnology
Tropical Agroforestry
Agronomy
Agricultural Economics
Agricultural Entomology
Horticulture
Seed Science
Soil Science
Plant Science
Agricultural Microbiology
Plant Pathology or Phytopathology
Plant Breeding
Integrated Pest Management
Agricultural Extension
Dryland Agriculture
Wet-Tropical (Rainforests) Agriculture
Plant Protection
Agricultural Socioeconomics
Sustainable Agriculture
Food Science
Plantation Product Technology
Agricultural Product Technology
Agricultural Industrial Technology
Postharvest Technology
Food and Agricultural Product Technology
Animal Husbandry
Animal Bioscience or Animal Science
Animal Physiology
Animal Nutrition
Animal Nutrition and Feed Science
Animal Nutrition and Feed Technology
Animal Husbandry Socioeconomics
Livestock Product Technology
Fisheries Science
Aquaculture
Water or Aquatic Resources Management
Capture Fisheries
Fisheries Socioeconomics
Aquatic Resources
Aquatic Product Technology
Fish Product Technology
Fish Capture technology
Architecture
Landscape Architecture
Regional Planning
Regional and Rural Planning
Regional and Urban Planning
Urban Planning
Tourism Planning
Urban Design
Design
Interior design
Visual Communication Design
Fashion Design
Product Design
Industrial Product Design
Ergonomics
Digital Bussiness
Accounting Science
Accounting
Management Science
Management
International Business Management
Innovation Management
Organizational Management
Tax Administration or Tax Management
Higher Education Management
Human Resource Management
Technology Management
Management Information System
Logistics
Logistics Management
Business Administration
Business
Services Industry
Maritime Business
Music Business
Family and Consumer Science
Entrepreneurship
Management and Entrepreneurship
Property and Valuation Management
International Trade
Co-operative Business
Communication Science
Public Relations
Journalism
"Film, Television, and Media Studies"
Mass Communication
Development Communication
Communication Management
Media and Communication
Advertising
Education Administration
Guidance and Counseling
Education Evaluation
Education
Education Management
Pedagogy
Office Administration Education
Accounting Education
Early Childhood Education
Anthropology Education
Arabic Language Education
Bali Language Education
Buginese Language Education
Lampung Language Education
Lampung Language and Cultural Education
Indonesia Language Education
English Language Education
Java Language Education
Japan Language Education
German Language Education
Korea Language Education
China Language Education
Makassarese Language Education
Malay Language Education
French Language Education
Sundanese Language Education
Indonesian Language and Literature Education
Javanese Language and Literature Education
Sundanese Language and Cultural Education
Sundanese Cultural Education
Biology Education
Business Education
Elementary Education
Economics Education
Physics Education
Geography Education
Early Childhood Teacher Education
Elementary Teacher Education
Natural Science Education
Social Science Education
Physical Education
Elementary Physical Education
Buddhism Religion Education
Hinduism Religion Education
Islam Religion Education
Catholicism Religion Education
Christianity Religion Education
Sports Coaching Education
Education of Faith in God
Special Education
Chemistry Education
Chemistry Teaching
Computer or Informatics Education
Co-operative Education
Craft Education
Environmental Education
Mathematics Education
Mathematics Teaching
Music Education
