company/name,title,company/name,location,job_clean
Metrodata,Data Scientist,Metrodata,Jakarta Raya,we are looking for an experienced data scientist to join our team if you have excellent programming skills and a passion for developing applications or improving existing ones we would like to meet you as a data scientist you ll work closely with our engineers to ensure system consistency and improve user experience data scientist roles and responsibilities include develop data science model using various machine learning platform such as cloudera data science workbench cdsw google ai azure ml imb watson aws sagemaker sas r python or others follow project timeline to ensure project complete on time and on budget develop new product in machine learning area such as demand forecasting product recommendation or basket analysis and other solution improve competencies in machine learning area pt metrodata electronics tbk digital solution provider technology innovator would like to invite you to be part of the company to develop yourself and your skills if you are bachelor s degree computer science information technology 2 3 years of experience in data modelling predictive modelling and in developing machine learning knows programming language e g r python scala passion in big data analytics a strong mix of mathematical statistical and programming skills solid analytical and problem solving skills to create data driven insights if you meet the requirement we needed let s apply for the following open positions metrodata not just offer for the job we offer you for brighter career future
Kredivo Group,Data Scientist,Kredivo Group,Jakarta Raya,as a data scientist you ll be part of a team that is working on cutting edge machine learning models you will work side by side with analysts and machine learning engineers and take full ownership of your work from the initial idea generation phase to the implementation of the final product our ideal candidate is result focused innovative has a solid quantitative background and a good business understanding about the role working in a multi disciplined team where you ll take full ownership of turning discoveries and ideas into machine learning models prototyping diverse machine learning models from credit scoring to recommendation engine researching development on how to improve our models by using our vast amount and unique set of data actively contribute to taking data science at kredivo group to the next level about you minimum 2 years of relevant work experience graduated from the major of or equivalent experience in a quantitative field i e computer science mathematics statistics econometrics engineering artificial intelligence capable to build robust end to end predictive models using the latest machine learning techniques and methodologies proficiency in python or r exposure to rdbms i e mysql postgresql and no sql platforms i e s3 excellent english communication skills bonus points optional for experience with alternate data to evaluate credit risk experience in building end to end deep learning and or nlp models thank you for your interest in kredivo we re thrilled that you d like to join our company unfortunately days are short and applicants are many so we won t have time to meet everyone if you are among qualified candidates you will receive a call or email from our talent acquisition team li al1
Sharing Vision Indonesia,Data Scientist,Sharing Vision Indonesia,"Jakarta Pusat, Jakarta Raya",data scientist bertugas untuk melakukan pengembangan permodelan machine learning atau artificial intelligent yang diperlukan untuk menjawab permasalah yang ingin dipecahkan client penempatan wfo di jakarta persyaratan berpengalaman dalam pekerjaan terkait data scientist minimal 2 tahun pernah terlibat dalam beberapa use case data science pernah menggunakan library langchain llamaindex dan pernah menggunakan microsoft specific azure openai llm dan azure ai search search index vector database mempunyai sertifikasi professional data scientist seperti cdsm cdsp advance dalam bahasa pemrograman python pyspark untuk pemodelan machine learning advance dalam sql advance dalam teknik pemodelan machine learning artificial intelligent dan statistik i e classification regression clustering fraud detection credit scoring advance dalam menggunakan tableau google analytics tools dashboard lainnya pengalaman dalam teknologi big data spark hive impala lebih diutamakan memiliki sertifikasi atau training data science dari lembaga resmi
New Connected Indonesia,Data Scientist,New Connected Indonesia,Jakarta Raya,key responsibilities design develop and deploy machine learning models to solve business problems and optimize processes create dynamic dashboards and visualizations using power bi and other bi tools to communicate insights effectively integrate and analyze data from multiple sources internal and external to ensure comprehensive reporting collaborate with cross functional teams and third party vendors to deliver project objectives work closely with the sales director to develop dashboards and reports that support sales operations present findings and recommendations to stakeholders in a clear concise manner ensure data integrity security and compliance with company standards required skills competencies technical expertise strong knowledge of sql database languages and data modeling proficiency in power bi python r and machine learning frameworks familiarity with agentic ai concepts and applications analytical skills ability to interpret complex datasets and generate actionable insights experience in predictive modeling and statistical analysis communication presentation excellent verbal and written communication skills ability to present technical findings to non technical stakeholders project management experience working on project based assignments with external partners qualifications bachelor s or master s degree in data science computer science statistics or related field minimum 5 years of experience in data science roles within fmcg companies proven track record of delivering machine learning driven dashboards and analytics placement pasar rebo east jakarta
Infomedia,Officer Data Scientist,Infomedia,"Kebayoran Lama, Jakarta Raya",job description 1 evaluasi performansi dampak bisnis ai a business understanding pemahaman ruang lingkup proses bisnis b data preparation melakukan pengumpulan data data quality assurance terkait performansi dampak bisnis ai c data processing modelling melakukan proses pengolahan data summarization modelling d presentation consulting membuat laporan memberikan rekomendasi presentasi 2 pembuatan konsep solusi analytics a discovery pemahaman proses bisnis identifikasi permasalahan b formulate membuat konsep solusi analytics mendefinisikan kebutuhan cost c presentation consulting membuat material komunikasi konsep solusi presentasi konsultasi terkait solusi analytics job requirement 1 minimal s1 jurusan data science statistics atau bidang terkait 2 minimal pengalaman 1 tahun di peran analisis problem solving 3 pemahaman proses bisnis kemampuan untuk formulasi kerangka untuk evaluasi performansi dampak bisnis 4 menguasai tools data sql for data management r or python data processing modelling data visualization tools power bi tablue bi tools 5 kemampuan komunikasi verbal visual termasuk kemampuan untuk mendeskripsikan konsep teknis yang kompleks kepadastakeholder non teknis skill requirement information security
New Era Innovation Industrial,DATA ANALYST,New Era Innovation Industrial,"Semarang, Jawa Tengah",kualifikasi minimum pendidikan minimal s1 di bidang akuntansi matematika ekonomi atau bidang terkait pengalaman 1 2 tahun sebagai data analyst atau memiliki pengalaman di bidang data analitik maupun operasional lebih disukai mampu berbahasa inggris dengan baik lisan dan tulisan mampu berbahasa mandarin menjadi nilai tambah lisan dan tulisan menguasai microsoft excel google sheets tingkat lanjut pivot table vlookup xlookup data model formula kompleks dll memiliki kemampuan melakukan data cleaning data transformation dan agregasi data secara efektif memiliki kemampuan analisis yang kuat detail oriented dan cepat tanggap dalam mengidentifikasi masalah mampu berpikir logis dan analitis serta mampu menemukan pola dari data memiliki kemampuan komunikasi yang baik untuk menyajikan data secara jelas dan terstruktur memiliki pengalaman di industri printing packaging akan menjadi nilai tambah deskripsi pekerjaan melakukan proses data cleaning secara menyeluruh dan memastikan keakuratan dan konsistensi data yang digunakan dalam laporan maupun analisis menyusun dan menyajikan laporan kinerja operasional secara rutin baik harian mingguan maupun bulanan sesuai kebutuhan perusahaan menyusun dan membantu laporan lain yang dibutuhkan manajemen
Prudential Group,Apprenticeship - Data Analytics,Prudential Group,"Jakarta Selatan, Jakarta Raya",responsibilities assist in collecting cleaning and organizing datasets perform data analysis and generate insights for projects and reporting create dashboards or visual reports using tools like excel google sheets or data visualization software support the team in decision making through data driven inputs conduct research and basic forecasting when required requirements final year student or recent graduate in statistics data science engineering computer science or related fields strong analytical and critical thinking skills familiar with data analysis tools excel google sheets bonus sql python tableau power bi detail oriented and loves working with numbers self motivated curious and eager to learn
Rumah Sakit Anwar Medika,Data Analyst,Rumah Sakit Anwar Medika,"Sidoarjo, Jawa Timur",data analyst kualifikasi 1 minimal s1 diutamakan jurusan statistika matematika ilmu kesehatan masyarakat teknik komputer atau jurusan yang berkecimpung dangan pengolahan data 2 memiliki pengalaman di bidang data analysis dan atau statistic menjadi nilai tambah 3 paham metode statistika dan visualisasi data 4 memiliki pengalaman dengan software statistic atau analisis data seperti spss excel r python tableau atau yang lain lain 5 memiliki kemampuan komunikasi yang baik untuk mempresentasikan temuan data dengan jelas dan efektif kepada non technical stakeholders 6 memiliki kemampuan problem solving yang baik untuk mengidentifikasi masalah yang berkaitan dengan data 7 detail dan teliti untuk memastikan keakuratan pada data yang dianalisa deskripsi pekerjaan 1 mengolah data dan memvisualkan data terutama dibidang kesehatan dan manajemen rumah sakit dan klinik 2 melakukan proses data cleaning secara menyeluruh dan memastikan keakuratan dan konsistensi data yang digunakan dalam laporan maupun analisis 3 menyusun dan membantu laporan lain yang dibutuhkan manajemen marketing pengadaan dsb 4 melakukan analisis forecast dan menyajikan insight yang relevan untuk mendukung efektivitas pemasaran dan strategi bisnis rumah sakit dan klinik 5 mendukung tim kolaborasi dengan departemen lain untuk pertimbangan pengambilan keputusan berdasarkan data
PT Pantja Artha Niaga,Data Analyst,PT Pantja Artha Niaga,"Jakarta Pusat, Jakarta Raya",kualifikasi minimum pendidikan minimal s1 di bidang statistika matematika ekonomi teknologi informasi atau bidang terkait pengalaman minimal 1 2 tahun sebagai data analyst atau memiliki pengalaman di bidang data analitik maupun operasional mampu berbahasa inggris dengan baik lisan dan tulisan menguasai microsoft excel google sheets tingkat lanjut pivot table vlookup xlookup data model formula kompleks dll memiliki kemampuan melakukan data cleaning data transformation dan agregasi data secara efektif memiliki kemampuan analisis yang kuat detail oriented dan cepat tanggap dalam mengidentifikasi masalah mampu berpikir logis dan analitis serta mampu menemukan pola dari data memiliki kemampuan komunikasi yang baik untuk menyajikan data secara jelas dan terstruktur memiliki kemampuan analisis forecast peramalan menjadi nilai tambah memiliki pengalaman di industri f b retail atau fmcg akan menjadi nilai tambah deskripsi pekerjaan melakukan proses data cleaning secara menyeluruh dan memastikan keakuratan dan konsistensi data yang digunakan dalam laporan maupun analisis menyusun dan menyajikan laporan kinerja operasional secara rutin baik harian mingguan maupun bulanan sesuai kebutuhan perusahaan menyusun dan membantu laporan lain yang dibutuhkan manajemen sales distribusi dan stok melakukan proses pengumpulan dan verifikasi struktur data distributor dengan memastikan setiap data yang diterima telah disesuaikan dengan format standar yang telah ditetapkan oleh perusahaan menganalisis tren penjualan pola permintaan musiman serta konstribusi tiap produk dan wilayah melakukan analisis forecast dan menyajikan insight yang relevan untuk mendukung efektivitas pemasaran dan strategi distribusi mendukung tim sales marketing dengan data analitik untuk pengambilan keputusan
Pesta Pora Abadi,Data Scientist Manager,Pesta Pora Abadi,"Jakarta Selatan, Jakarta Raya",qualifications bachelor s or master s degree in computer science data science statistics mathematics or other quantitative fields minimum 5 years of applied data science or ai experience with a proven track record of delivering measurable business impact experience in f b retail or fast paced startup environments plus strong python skills including experience with libraries such as scikit learn tensorflow pytorch xgboost and frameworks like langchain or openai api plus proven experience in deploying machine learning models using ml platforms e g mlflow vertex ai azure ml or similar strong understanding of statistics experiment design a b testing and regression methods ability to translate complex models and insights into clear business recommendations familiarity with dbt airflow or other data pipeline orchestration tools plus interest or hands on exposure to llms generative ai or applied ai development plus strong problem solving skills analytical mindset and attention to detail excellent communication and stakeholder management skills able to collaborate with business product and engineering teams hands on leadership style able to mentor analysts scientists and elevate team capabilities proactive collaborative and drives ai literacy and responsible ai adoption across the organization placement hybrid jakarta malang
Greenly Lifestyle Indonesia,Data Science Analyst / Analis,Greenly Lifestyle Indonesia,"Surabaya, Jawa Timur",key responsibilities collect clean and analyze data from various sources build and maintain reports and dashboards to track business performance perform data validation and integrity checks across systems translate business questions into analytical problems and provide actionable insights collaborate with cross functional teams to understand data requirements and deliver solutions support data driven decision making processes across departments must have qualifications advanced skills in excel and google sheets including formulas such as index match importrange and query intermediate proficiency in python especially in data analysis libraries like pandas numpy matplotlib and seaborn basic sql query skills for working with relational databases strong logical and critical thinking skills with the ability to solve complex problems efficiently attention to detail and a proactive attitude toward data quality and accuracy preferred qualifications nice to have experience with bi tools e g google data studio power bi looker understanding of statistical analysis or forecasting methods exposure to cloud based platforms like google cloud platform or aws
