"bulletPoints/0","bulletPoints/1","bulletPoints/2","classifications/0/main","classifications/0/sub","company/description","company/id","company/logo","company/name","country","description","isExpiringSoon","jobDescriptionHtml","jobId","jobSearchUrl","location","postDate","postDateDisplay","salary","scrapedAt","sourceUrl","title","workArrangement","workTypes/0"
"The leading company in credit bureau industry","Professional working environment with career development opportunities.","Strategic role with competitive salary & benefits","Sains & Teknologi","Matematika, Statistik & Teknik Informasi","PT PEFINDO Biro Kredit","60902475","https://bx-branding-gateway.cloud.seek.com.au/9974ecdf-9275-4b41-802d-2116942f1616.1/serpLogo","Pefindo Credit Bureau","ID","Data Scientist with 2+ years’ experience in analytics and machine learning to support credit risk insights and data-driven decisions.","false","<div class=""_19m44kd0 acb74k0""><ul><li><p>Perform data analysis, statistical modeling, and machine learning to support credit analytics, risk assessment, and business decision-making.</p></li><li><p>Conduct data research, experimentation, and model development using <strong>Python/R</strong> and <strong>SQL</strong> on large, structured datasets.</p></li><li><p>Collect, clean, validate, and analyze internal and external data while ensuring data quality, consistency, and confidentiality.</p></li><li><p>Develop, implement, and monitor analytical models (e.g., regression, classification) relevant to credit behavior and portfolio performance.</p></li><li><p>Translate complex analytical results into clear insights, reports, dashboards, and visualizations using <strong>BI tools</strong> (e.g., Power BI, Tableau).</p></li><li><p>Collaborate with Product, Risk, Business, and IT teams to support data-driven initiatives and digital transformation.</p></li><li><p>Apply best practices in data governance, data privacy, and compliance within a regulated environment.</p></li><li><p>Bachelor’s degree in a quantitative field with a <strong>minimum of 2 years’ experience</strong> in data analysis, data science, or a related role, strong analytical skills, and the ability to communicate insights effectively.</p></li></ul><p><br></p></div>","89453529","https://id.jobstreet.com/id/Data-Science-jobs?createdAt=14d","Jakarta Selatan, Jakarta Raya","2026-01-05T10:00:39Z","6 menit yang lalu","","2026-01-05T10:07:34.317Z","https://id.jobstreet.com/id/Data-Science-jobs?createdAt=14d","Data Scientist","Hibrid","Full time"
,,,"Sains & Teknologi","Matematika, Statistik & Teknik Informasi","PT Dharma Lautan Utama (Surabaya)","60957600","https://bx-branding-gateway.cloud.seek.com.au/d01b78c4-d9ba-4bd0-b59b-1ba4ab050272.1/serpLogo","Dharma Lautan Utama","ID","Mengurus data base dan data science.",,"<div class=""_19m44kd0 acb74k0""><ul><li><p>S1 Informatika</p></li><li><p>Laki-Laki/Perempuan, Usia Maksimal 33 Tahun.</p></li><li><p>Memahami Database/Bigdata, Data Science.</p></li><li><p>Paham dan Dapat Menggunakan Pemograman Phyton atau Sejenisnya.</p></li></ul><p><br></p></div>","89444842","https://id.jobstreet.com/id/Data-Science-jobs?createdAt=14d","Surabaya, Jawa Timur","2026-01-05T06:23:47Z","3 jam yang lalu","","2026-01-05T10:07:34.317Z","https://id.jobstreet.com/id/Data-Science-jobs?createdAt=14d","Staf Data Science",,"Full time"
,,,"Sains & Teknologi","Matematika, Statistik & Teknik Informasi","PT Surya Jalur Anugerah","60258816","https://bx-branding-gateway.cloud.seek.com.au/06f4733a-7839-4aeb-ab39-742e9a159317.2/serpLogo","Surya Jalur Anugerah","ID","SJA is a family owned private holding company with a culture that combines a strong entreprenuarial spirit and sound financial discipline.",,"<div class=""_19m44kd0 acb74k0""><p><strong><em>Job Description</em>:</strong></p><ol><li><p>Mengelola dan melakukan analisa data</p></li><li><p>Membuat analisa dan menyajikan laporan bisnis</p></li><li><p>Menentukan kebutuhan data dan mengembangkan strategi analisis</p></li><li><p>Mamastikan kualitas akurasi data</p></li><li><p>Mengumpulkan data dari divisi lain yang berada dalam Perusahaan</p></li></ol><p><strong><em>Required Skill</em>:</strong></p><ol><li><p>Pendidikan minimal S1 Statistika, Data Science, Manajemen atau bidang terkait</p></li><li><p>Memiliki pengalaman bekerja minimal <strong>1 tahun</strong></p></li><li><p>Memiliki keterampilan dalam penggunaan Microsoft Office atau ketrampilan lainnya yang terkait dengan pengolahan data.</p></li><li><p>Memiliki pengetahuan tentang statistika dasar dan lanjutan</p></li><li><p>Memiliki keterampilan komunikasi dan interpersonal yang kuat.</p></li><li><p>Memiliki kemampuan berpikir kritis dan analitis, serta kemampuan bekerja dalam tim dan mandiri.</p></li></ol><p><br></p></div>","89451739","https://id.jobstreet.com/id/Data-Science-jobs?createdAt=14d","Jakarta Selatan, Jakarta Raya","2026-01-05T09:14:06Z","53 menit yang lalu","Rp 6.000.000 – Rp 7.000.000 per month","2026-01-05T10:07:34.317Z","https://id.jobstreet.com/id/Data-Science-jobs?createdAt=14d","Staff Data Analytics",,"Full time"
"Data Analyst","System Analyst","Business Analyst","Teknologi Informasi & Komunikasi","Analis Bisnis/Sistem","PT Nusantara Sakti Group (JAKARTA)","61052665","https://bx-branding-gateway.cloud.seek.com.au/8c257b6a-7e8c-41db-a29c-acb9ed17044d.1/serpLogo","Nusantara Sakti Group","ID","Data Analyst, Menguasai Excel minimal intermediate, Memahami Business Process Management",,"<div class=""_19m44kd0 acb74k0""><p><strong><em>Qualifications</em></strong>:</p><ul><li><p>Pendidikan minimal S1 jurusan <strong>Statistika, Matematika, Aktuaria, Ekonomi, Sistem Informasi,</strong> dan jurusan relevan lainnya</p></li><li><p>Menguasai Excel minimal intermediate , kemampuan SQL / Power BI / Tableu menjadi nilai tambah</p></li><li><p>Mampu menganalisa data dalam jumlah besar dan membuat <em>forecasting</em></p></li><li><p>Komunikatif dan <em>Detail-oriented</em></p></li><li><p>Inisiatif dan mampu bekerja lintas tim/divisi</p></li><li><p>Memiliki ketertarikan dan pemahaman tentang dunia bisnis</p></li><li><p>Memahami <em>Business Process Management</em> menjadi nilai tambah</p></li><li><p>Memiliki pengalaman sebagai <em>Data analyst </em>menjadi nilai tambah</p></li><li><p>Penempatan <strong>Jakarta Barat </strong>dan <strong>Tangerang</strong></p></li></ul><p><br></p><p><strong><em>Jobdesc</em></strong>:</p><ul><li><p>Melakukan analisa data pencapaian dan alur proses dari sebuah bisnis</p></li><li><p>Bertanggung jawab terhadap pencapaian bisnis</p></li><li><p>Mampu mengolah, menganalisa, mengintepretasi, dan memvisualisasi data sesuai bisnis/divisi yang menjadi tanggung jawab</p></li><li><p>Memberikan insight strategis dan <em>actionable </em>untuk meningkatkan efisiensi dan efektivitas</p></li><li><p>Membangun hubungan kerjasama internal dan eksternal</p></li><li><p>Mempersiapkan laporan bulanan, triwulan, dan tahunan</p></li></ul><p><br></p></div>","89406341","https://id.jobstreet.com/id/Data-Science-jobs?createdAt=14d","Jakarta Barat, Jakarta Raya","2026-01-02T09:13:47Z","3 hari yang lalu","Rp 7.000.000 – Rp 10.000.000 per month","2026-01-05T10:07:34.317Z","https://id.jobstreet.com/id/Data-Science-jobs?createdAt=14d","Data Analyst",,"Full time"
,,,"Sains & Teknologi","Matematika, Statistik & Teknik Informasi","PT Kamoro Maxima Integra","60867443","https://bx-branding-gateway.cloud.seek.com.au/8e02af6e-8d32-4522-9c89-85649257901d.2/serpLogo","Kamoro Maxima Integra","ID","Minimum 3 years experience as Data Scientist, strong in predictive modelling, python, cloud-based ML (Azure). Willing to travel.","true","<div class=""_19m44kd0 acb74k0""><p><strong>Role and Responsibilities:</strong></p><ul><li><p>Tackle real industry challenges by applying analytics, machine learning, and optimization solutions to copper mining operations.</p></li><li><p>Use research and analytical expertise to test ideas, validate hypotheses, and uncover insights that drive resource-efficient mining.</p></li><li><p>Build and scale solutions in cloud environment to deliver clear, actionable insights for leadership and operations teams.</p></li><li><p>Design, implement, and maintain data-driven tools that solve complex business problems with advanced statistical and analytical methods.<br></p></li></ul><p><strong>Requirements:</strong></p><ul><li><p><strong>Willingness to travel if required</strong> (up to 30%, primarily to mining site)</p></li><li><p><strong>Strong proficiency in English, both written and verbal.</strong></p></li><li><p>Minimum Bachelor’s degree in Statistics, Mathematics, Engineering, Physics, or a related field (more advanced degree is a plus).</p></li><li><p><strong>More than 3 years' experience </strong>working as a Data Scientist is mandatory.</p></li><li><p>Hands-on expertise in predictive modeling (e.g., Regression, Random Forest, Gradient Boosting), time series analysis, NLP, anomaly detection, or survival analysis.</p></li><li><p>Proficiency in Python and its data science stack for data analysis, visualization, and modeling.</p></li><li><p>Solid knowledge of SQL and experience with big-data platforms (Snowflake experience is a plus).</p></li><li><p>Experience with cloud-based ML tools (Azure a big plus).</p></li><li><p><strong>Proven ability to mentor, collaborate, and grow a high-performing data science team.</strong></p></li><li><p>Strategic thinker with a proven track record of transforming data into actionable insights that drive decision-making.<br></p></li></ul><p><strong>Why join Us?</strong></p><ul><li><p>We offer very<strong>&nbsp;attractive salary</strong>&nbsp;and&nbsp;<strong>outstanding benefits.</strong></p></li><li><p>Most of our clients are multinational company which you will be exposed to a large IT environment and&nbsp;<strong>valuable experience</strong>&nbsp;in&nbsp;<strong>international scale projects</strong>.</p></li><li><p>You will&nbsp;<strong>always learn new things</strong>&nbsp;as our projects always adopt latest technology and best practice available in the market.</p></li><li><p>Last but not least, we offer a supportive and encouraging environment that puts the emphasis on teamwork. Here,&nbsp;<strong>your soft skill</strong>&nbsp;(professional relationships, character, attitude)&nbsp;<strong>will grow</strong>&nbsp;as fast as your technical skill</p></li></ul><p><br></p></div>","88904585","https://id.jobstreet.com/id/Data-Science-jobs?createdAt=14d","Jakarta Raya","2025-12-09T06:48:10Z","27 hari yang lalu","","2026-01-05T10:07:34.317Z","https://id.jobstreet.com/id/Data-Science-jobs?createdAt=14d","Data Scientist","Hibrid","Full time"
,,,"Administrasi & Dukungan Perkantoran","Entri Data & Pengolahan Kata","PT Cahaya Mas Cemerlang","60169959","https://bx-branding-gateway.cloud.seek.com.au/b1936752-5fe0-44c8-9c8e-7a997f55c89c.1/serpLogo","Cahaya Mas Cemerlang","ID","Bertanggung jawab dalam mengelola dan menganalisisdata operasional yang terkait dengan perencanaan, pengadaan, distribusi, dan pengendalian BMHP.",,"<div class=""_19m44kd0 acb74k0""><p><strong>Lini Bisnis: Bahan Medis Habis Pakai (BMHP)</strong></p><p><strong>1. Kualifikasi Pendidikan</strong></p><ul><li><p>Pendidikan minimal <strong>S1</strong>:</p><ul><li><p>Teknik Industri</p></li><li><p>Statistika</p></li><li><p>Sistem Informasi</p></li><li><p>Informatika</p></li><li><p>Manajemen (konsentrasi operasional/logistik)</p></li><li><p>atau bidang lain yang relevan</p></li></ul></li><li><p>Pendidikan S2 di bidang <strong>Data Analytics / Manajemen Operasi / Supply Chain</strong> menjadi nilai tambah.</p></li></ul><hr><p><strong>2. Pengalaman Kerja</strong></p><ul><li><p>Memiliki pengalaman kerja minimal <strong>2–3 tahun</strong> sebagai:</p><ul><li><p>Data Analyst</p></li><li><p>Data Officer</p></li><li><p>Analis Operasional / Logistik</p></li><li><p>Pengolah Data Proyek</p></li></ul></li><li><p>Berpengalaman mengolah data pada sektor:</p><ul><li><p>Alat kesehatan</p></li><li><p>Bahan medis habis pakai</p></li><li><p>Rumah sakit, distributor, atau pengadaan pemerintah (nilai tambah)</p></li></ul></li></ul><hr><p><strong>3. Kompetensi Teknis Utama</strong></p><ul><li><p>Mampu melakukan <strong>pengolahan, analisis, dan visualisasi data</strong> dalam skala operasional dan bisnis.</p></li><li><p>Memahami alur bisnis <strong>BMHP</strong>: perencanaan, pengadaan, distribusi, dan penggunaan.</p></li><li><p>Menguasai:</p><ul><li><p><strong>Microsoft Excel (lanjutan)</strong>: Pivot Table, Power Query, Lookup, Dashboard</p></li><li><p><strong>Microsoft PowerPoint</strong> untuk penyajian laporan analitis</p></li></ul></li><li><p>Mampu menyusun <strong>database operasional BMHP</strong> (stok, pemakaian, kedaluwarsa, penjualan).</p></li></ul><hr><p><strong>4. Sistem &amp; Tools (Nilai Tambah)</strong></p><ul><li><p>Pengalaman menggunakan:</p><ul><li><p><strong>ERP / sistem logistik</strong> (misalnya Odoo, SAP, atau SIMRS)</p></li><li><p><strong>Business Intelligence Tools</strong> (Power BI, Tableau, Looker)</p></li></ul></li><li><p>Dasar pemrograman <strong>SQL / Python / R</strong> untuk pengolahan data menjadi nilai tambah.</p></li></ul><hr><p><strong>5. Kompetensi Analitis &amp; Bisnis</strong></p><ul><li><p>Mampu melakukan:</p><ul><li><p>Analisis tren penggunaan dan penjualan BMHP</p></li><li><p>Analisis efisiensi stok dan perputaran barang</p></li><li><p>Forecasting kebutuhan BMHP berbasis data historis</p></li></ul></li><li><p>Mampu menyajikan data menjadi <strong>rekomendasi strategis</strong> bagi manajemen.</p></li></ul><hr><p><strong>6. Kemampuan Administratif &amp; Dokumentasi</strong></p><ul><li><p>Mampu menyusun:</p><ul><li><p>Laporan periodik (harian, bulanan, tahunan)</p></li><li><p>Rekap data operasional dan bisnis</p></li><li><p>Data pendukung audit dan evaluasi proyek</p></li></ul></li><li><p>Memahami prinsip <strong>akurasi, validasi, dan keamanan data</strong>.</p></li></ul><hr><p><strong>7. Soft Skills</strong></p><ul><li><p>Teliti, sistematis, dan memiliki perhatian tinggi terhadap detail.</p></li><li><p>Mampu bekerja dengan data dalam jumlah besar dan tenggat waktu ketat.</p></li><li><p>Memiliki kemampuan komunikasi yang baik untuk menjelaskan hasil analisis kepada tim non-teknis.</p></li><li><p>Mampu bekerja secara mandiri maupun dalam tim lintas fungsi.</p></li></ul><hr><p><strong>8. Etika Kerja &amp; Kepatuhan</strong></p><ul><li><p>Menjunjung tinggi <strong>kerahasiaan dan integritas data</strong>.</p></li><li><p>Memahami kepatuhan terhadap kebijakan internal perusahaan dan regulasi sektor kesehatan.</p></li></ul><hr><p><strong>9. Persyaratan Umum</strong></p><ul><li><p>Sehat jasmani dan rohani.</p></li><li><p>Bersedia bekerja dengan sistem target dan deadline.</p></li><li><p>Bersedia ditempatkan sesuai kebutuhan lini bisnis/proyek.</p></li></ul><p><br></p></div>","89429501","https://id.jobstreet.com/id/Data-Science-jobs?createdAt=14d","Jakarta Timur, Jakarta Raya","2026-01-05T01:19:56Z","8 jam yang lalu","Rp 5.500.000 – Rp 5.700.000 per month","2026-01-05T10:07:34.317Z","https://id.jobstreet.com/id/Data-Science-jobs?createdAt=14d","Tenaga Ahli Pengolah Data",,"Full time"
,,,"Sains & Teknologi","Matematika, Statistik & Teknik Informasi","PT Kaldu Sari Nabati Indonesia","60170098","https://bx-branding-gateway.cloud.seek.com.au/4e972759-a0af-46ae-8988-937dbb829689.1/serpLogo","Nabati Group","ID","This role will be developing predictive models, extracting insights from datasets, and translating analytical results into business recommendations.",,"<div class=""_19m44kd0 acb74k0""><h2><strong>Job Description</strong></h2><p>We are looking for an analytical and business-oriented IT Data Scientist to support data-driven decision-making across the organization. This role will focus on developing predictive models, extracting insights from complex datasets, and translating analytical results into actionable business recommendations.</p><p>You will work closely with IT, business, and analytics stakeholders to drive value through data, improve operational performance, and support strategic initiatives.</p><p><br></p><h2><strong>Responsibilities</strong></h2><ul><li><p>Analyze large, structured, and unstructured datasets to identify trends, patterns, and business insights.</p></li><li><p>Develop, validate, and deploy statistical models, machine learning algorithms, and predictive analytics solutions.</p></li><li><p>Translate complex data findings into clear insights and recommendations for business stakeholders.</p></li><li><p>Collaborate with data engineers and IT teams to ensure data quality, availability, and scalability.</p></li><li><p>Design and maintain dashboards, reports, and data visualizations to support decision-making.</p></li><li><p>Support experimentation, forecasting, and scenario analysis to improve business outcomes.</p></li><li><p>Ensure adherence to data governance, security, and compliance standards.</p></li><li><p>Document models, methodologies, and analytical processes.</p></li></ul><p><br></p><h2><strong>Requirements</strong></h2><ul><li><p>Bachelor’s or Master’s degree in Data Science, Statistics, Computer Science, Mathematics, or a related field.</p></li><li><p>Proven experience in data analysis, data science, or advanced analytics roles.</p></li><li><p>Strong proficiency in Python or R, SQL, and data manipulation techniques.</p></li><li><p>Familiarity with data visualization tools (e.g., Power BI, Tableau).</p></li><li><p>Strong understanding of probability, statistics, and analytical problem-solving.</p></li><li><p>Experience working with large datasets and cloud-based analytics platforms is an advantage.</p></li></ul><p><br></p></div>","89360736","https://id.jobstreet.com/id/Data-Science-jobs?createdAt=14d","Bandung, Jawa Barat","2025-12-29T10:20:00Z","6 hari yang lalu","","2026-01-05T10:07:34.317Z","https://id.jobstreet.com/id/Data-Science-jobs?createdAt=14d","IT Data Scientist",,"Full time"
,,,"Teknologi Informasi & Komunikasi","Pengembangan & Administrasi Database","Orang Tua Group","60183855","https://bx-branding-gateway.cloud.seek.com.au/f36e1cd8-38b4-4d72-ab47-249ef197dd99.2/serpLogo","Orang Tua Group","ID","S1 Statistik, Matematika, Teknik, Informatika, Komputer, Akuntansi....",,"<div class=""_19m44kd0 acb74k0""><p><strong>Kualifikasi:</strong></p><ul><li><p><strong>S1 Statistik, Matematika, Teknik, Informatika, Komputer</strong></p></li><li><p>IPK min <strong>3.00</strong></p></li><li><p>Terbuka untuk <em>fresh graduate</em> (berpengalaman lebih disukai)</p></li><li><p>Menguasai <strong>Microsoft Office, SQL</strong></p></li><li><p>Penempatan: <strong>Head Office, Jakarta Barat</strong></p><p><br></p></li></ul><p><strong>Deskripsi Pekerjaan:</strong></p><ul><li><p>Menafsirkan data, menganalisa hasil dengan teknik statistik dan memberi laporan</p></li><li><p>Menganalisa, mengidentifikasi, menafsirkan tren/pola dalam kumpulan data</p></li><li><p>Memperoleh &amp; memelihara database/data sistem</p></li></ul><p><br></p></div>","89437445","https://id.jobstreet.com/id/Data-Science-jobs?createdAt=14d","Jakarta Raya","2026-01-05T03:56:37Z","6 jam yang lalu","","2026-01-05T10:07:34.317Z","https://id.jobstreet.com/id/Data-Science-jobs?createdAt=14d","Sales Data Analyst",,"Full time"
"ETL | Data Pipeline | Cloud Data Engineering","Build Scalable Data Solutions","Snowflake | BigQuery | Data Transformation","Teknologi Informasi & Komunikasi","Pengembangan & Administrasi Database","PT Japfa Comfeed Indonesia, Tbk","60892171","https://bx-branding-gateway.cloud.seek.com.au/ba6522d7-fc02-41aa-b110-5f107c9cbf0e.1/serpLogo","JAPFA Comfeed","ID","Design, build, and maintain scalable data pipelines and transformations to ensure reliable data flow and optimized data models across systems.",,"<div class=""_19m44kd0 acb74k0""><p><strong>The Data Transformation Functional is responsible for designing, building, and maintaining scalable data pipelines and transformation processes that enable reliable data flow across systems.</strong> This role bridges business needs and technical implementation by translating functional data requirements into optimized data models and ETL/ELT workflows.</p><p>The engineer ensures data is properly cleansed, structured, and enriched for analytical and operational use—supporting reporting, business intelligence (BI), data science, and digital initiatives. The position requires strong skills in data modeling, SQL, and cloud data platforms (e.g., Snowflake, AWS, Azure, GCP), with an understanding of data governance, quality, and performance optimization.</p><p><br></p><p><strong>Job Description:</strong></p><ol><li><p><strong>Design, develop, and maintain</strong> ETL/ELT pipelines for data ingestion, transformation, and integration.</p></li><li><p><strong>Collaborate </strong>with business and analytics teams to define data requirements and translate them into technical solutions.</p></li><li><p><strong>Build and optimize</strong> data models to support BI tools, dashboards, and advanced analytics.</p></li><li><p><strong>Ensure </strong>data accuracy, consistency, and compliance with data governance policies.</p></li><li><p><strong>Automate </strong>data workflows and monitor pipeline performance for reliability and scalability.</p></li><li><p><strong>Work closely</strong> with data architects and functional teams to improve overall data ecosystem efficiency.</p></li></ol><p><br></p><p><strong>Job Requirement:</strong></p><ul><li><p>Bachelor’s degree in Information Technology, Information Systems, or a related field; Master’s degree is a plus.</p></li><li><p>Experience in data engineering, data transformation, or data integration roles is a plus. Fresh Grad is welcome.</p></li><li><p>Proven experience designing, developing, and maintaining ETL/ELT data pipelines for structured and semi-structured data using tools such as dbt, Informatica, Talend, or Apache Airflow.</p></li><li><p>Hands-on experience working with cloud-based data platforms such as Snowflake, Databricks, Google BigQuery, Amazon Redshift, or Azure Synapse.</p></li><li><p>Strong proficiency in SQL and practical experience with at least one programming language (e.g., Python, Scala, or Java) for automation and data manipulation.</p></li><li><p>Demonstrated experience integrating and preparing data for Business Intelligence (BI) tools, such as Power BI, Qlik Sense, or Tableau, ensuring optimized data structures for visualization and analysis.</p></li><li><p>Experience collaborating closely with business analysts, functional teams, and data consumers to translate business requirements into technical data solutions.</p></li><li><p>Exposure to version control systems (Git) and CI/CD workflows, ideally within an Agile development environment.</p></li></ul><p><strong>Technical skills:</strong></p><ul><li><p>SQL, Python, or Scala.</p></li><li><p>TL/ELT tools (e.g., dbt, Informatica, Talend).</p></li><li><p>Cloud data platforms (e.g., Snowflake, Databricks, BigQuery, Redshift).</p></li><li><p>CI/CD and version control (e.g., Git, Jenkins)</p></li></ul><p><strong>Soft skills:</strong></p><ul><li><p>Analytical Thinking Ability to interpret complex data processes, identify root causes of issues, and propose practical solutions.</p></li><li><p>Business Acumen Understands business processes and can translate functional requirements into technical data solutions that add measurable value.</p></li><li><p>Communication Skills Able to communicate clearly with both technical and non-technical stakeholders, including data architects, analysts, and business users.</p></li><li><p>Collaboration &amp; Teamwork Works effectively within cross-functional teams, fostering cooperation between IT, data, and business units.</p></li><li><p>Problem-Solving Mindset Approaches challenges systematically, balancing technical precision with business needs.</p></li><li><p>Attention to Detail Ensures data accuracy and consistency throughout transformation and integration processes.</p></li><li><p>Continuous Learning Stays updated with emerging data technologies, engineering frameworks, and best practices.</p></li></ul><p><br></p></div>","89436534","https://id.jobstreet.com/id/Data-Science-jobs?createdAt=14d","Surabaya, Jawa Timur","2026-01-05T03:33:52Z","6 jam yang lalu","","2026-01-05T10:07:34.318Z","https://id.jobstreet.com/id/Data-Science-jobs?createdAt=14d","Data Engineer",,"Full time"
,,,"Sains & Teknologi","Matematika, Statistik & Teknik Informasi","PT Eigerindo Multi Produk Industri","60871643","https://bx-branding-gateway.cloud.seek.com.au/938c3641-1e03-4a02-a4a0-07db9d88b670.2/serpLogo","Eigerindo Multi Product Industry","ID","Responsible for collecting, processing, and analyzing large sets of data to provide actionable insights that support business decision-making",,"<div class=""_19m44kd0 acb74k0""><p><strong>About the job :&nbsp;</strong><br>Data Analyst will be responsible for collecting, processing, and analyzing large sets of data to provide actionable insights that support business decision-making. This role requires proficiency in data analysis tools, strong problem-solving skills, and the ability to communicate complex findings clearly and effectively.</p><p><strong>In this role, you will get to :</strong><br>- Collect, clean, and organize large datasets from multiple sources.<br>- Perform data analysis to identify trends, patterns, and anomalies.<br>- Develop and maintain reports and dashboards for key stakeholders.<br>- Provide recommendations for process improvements based on data insights.<br>- Collaborate with cross-functional teams to support business goals.<br>- Ensure data accuracy, integrity, and consistency.<br>- Use statistical techniques and tools to interpret and present data findings.</p><p><strong>What you will Need to Succeed :</strong><br>- Bachelor's degree in Data Science, Statistics, Mathematics, or related field.<br>- Proven experience as a Data Analyst or similar role for minimum 2 years.<br>- Proficiency in data analysis tools such as Excel, SQL, Python, or R.<br>- Having knowledge and understand about retail business.<br>- Strong analytical skills and attention to detail.<br>- Excellent communication skills, both written and verbal.<br>- Ability to work independently and as part of a team.<br>- Willing to be placed at Kopo, Katapang, Bandung</p></div>","89312663","https://id.jobstreet.com/id/Data-Science-jobs?createdAt=14d","Kabupaten Bandung, Jawa Barat","2025-12-24T01:55:26Z","12 hari yang lalu","","2026-01-05T10:07:34.318Z","https://id.jobstreet.com/id/Data-Science-jobs?createdAt=14d","Data Analyst",,"Full time"
