"classifications/0/main","classifications/0/sub","company/description","company/id","company/logo","company/name","country","description","isExpiringSoon","jobDescriptionHtml","jobId","jobSearchUrl","location","postDate","postDateDisplay","salary","scrapedAt","sourceUrl","title","workArrangement","workTypes/0"
"Teknologi Informasi","Data Science","","Unknown","","PT Cahaya Mas Cemerlang","ID","Lini Bisnis: Bahan Medis Habis Pakai (BMHP)1. Kualifikasi PendidikanPendidikan minimal S1:Teknik IndustriStatistikaSistem InformasiInformatikaManajemen (konsentrasi operasional/logistik)atau bidang lain yang relevanPendidikan S2 di bidang Data Analytics / Manajemen Operasi / Supply Chain menjadi nil...","false","<div class=""p8fjkv0 _1c8h3tw0""><p><strong>Lini Bisnis: Bahan Medis Habis Pakai (BMHP)</strong></p><p><strong>1. Kualifikasi Pendidikan</strong></p><ul><li><p>Pendidikan minimal <strong>S1</strong>:</p><ul><li><p>Teknik Industri</p></li><li><p>Statistika</p></li><li><p>Sistem Informasi</p></li><li><p>Informatika</p></li><li><p>Manajemen (konsentrasi operasional/logistik)</p></li><li><p>atau bidang lain yang relevan</p></li></ul></li><li><p>Pendidikan S2 di bidang <strong>Data Analytics / Manajemen Operasi / Supply Chain</strong> menjadi nilai tambah.</p></li></ul><hr><p><strong>2. Pengalaman Kerja</strong></p><ul><li><p>Memiliki pengalaman kerja minimal <strong>2–3 tahun</strong> sebagai:</p><ul><li><p>Data Analyst</p></li><li><p>Data Officer</p></li><li><p>Analis Operasional / Logistik</p></li><li><p>Pengolah Data Proyek</p></li></ul></li><li><p>Berpengalaman mengolah data pada sektor:</p><ul><li><p>Alat kesehatan</p></li><li><p>Bahan medis habis pakai</p></li><li><p>Rumah sakit, distributor, atau pengadaan pemerintah (nilai tambah)</p></li></ul></li></ul><hr><p><strong>3. Kompetensi Teknis Utama</strong></p><ul><li><p>Mampu melakukan <strong>pengolahan, analisis, dan visualisasi data</strong> dalam skala operasional dan bisnis.</p></li><li><p>Memahami alur bisnis <strong>BMHP</strong>: perencanaan, pengadaan, distribusi, dan penggunaan.</p></li><li><p>Menguasai:</p><ul><li><p><strong>Microsoft Excel (lanjutan)</strong>: Pivot Table, Power Query, Lookup, Dashboard</p></li><li><p><strong>Microsoft PowerPoint</strong> untuk penyajian laporan analitis</p></li></ul></li><li><p>Mampu menyusun <strong>database operasional BMHP</strong> (stok, pemakaian, kedaluwarsa, penjualan).</p></li></ul><hr><p><strong>4. Sistem &amp; Tools (Nilai Tambah)</strong></p><ul><li><p>Pengalaman menggunakan:</p><ul><li><p><strong>ERP / sistem logistik</strong> (misalnya Odoo, SAP, atau SIMRS)</p></li><li><p><strong>Business Intelligence Tools</strong> (Power BI, Tableau, Looker)</p></li></ul></li><li><p>Dasar pemrograman <strong>SQL / Python / R</strong> untuk pengolahan data menjadi nilai tambah.</p></li></ul><hr><p><strong>5. Kompetensi Analitis &amp; Bisnis</strong></p><ul><li><p>Mampu melakukan:</p><ul><li><p>Analisis tren penggunaan dan penjualan BMHP</p></li><li><p>Analisis efisiensi stok dan perputaran barang</p></li><li><p>Forecasting kebutuhan BMHP berbasis data historis</p></li></ul></li><li><p>Mampu menyajikan data menjadi <strong>rekomendasi strategis</strong> bagi manajemen.</p></li></ul><hr><p><strong>6. Kemampuan Administratif &amp; Dokumentasi</strong></p><ul><li><p>Mampu menyusun:</p><ul><li><p>Laporan periodik (harian, bulanan, tahunan)</p></li><li><p>Rekap data operasional dan bisnis</p></li><li><p>Data pendukung audit dan evaluasi proyek</p></li></ul></li><li><p>Memahami prinsip <strong>akurasi, validasi, dan keamanan data</strong>.</p></li></ul><hr><p><strong>7. Soft Skills</strong></p><ul><li><p>Teliti, sistematis, dan memiliki perhatian tinggi terhadap detail.</p></li><li><p>Mampu bekerja dengan data dalam jumlah besar dan tenggat waktu ketat.</p></li><li><p>Memiliki kemampuan komunikasi yang baik untuk menjelaskan hasil analisis kepada tim non-teknis.</p></li><li><p>Mampu bekerja secara mandiri maupun dalam tim lintas fungsi.</p></li></ul><hr><p><strong>8. Etika Kerja &amp; Kepatuhan</strong></p><ul><li><p>Menjunjung tinggi <strong>kerahasiaan dan integritas data</strong>.</p></li><li><p>Memahami kepatuhan terhadap kebijakan internal perusahaan dan regulasi sektor kesehatan.</p></li></ul><hr><p><strong>9. Persyaratan Umum</strong></p><ul><li><p>Sehat jasmani dan rohani.</p></li><li><p>Bersedia bekerja dengan sistem target dan deadline.</p></li><li><p>Bersedia ditempatkan sesuai kebutuhan lini bisnis/proyek.</p></li></ul><p><br></p></div>","89429501","Derived from Search","Jakarta Timur, Jakarta Raya","2026-01-19T05:45:21.863Z","","Rp 5.500.000 – Rp 5.700.000 per month","2026-01-19T05:45:21.863Z","https://id.jobstreet.com/id/job/89429501?type=standard&ref=search-standalone","Tenaga Ahli Pengolah Data","On-site","Full time"
"Teknologi Informasi","Data Science","","Unknown","","PT Cahaya Mas Cemerlang","ID","Lini Bisnis: Bahan Medis Habis Pakai (BMHP)1. Kualifikasi PendidikanPendidikan minimal S1:Teknik IndustriStatistikaSistem InformasiInformatikaManajemen (konsentrasi operasional/logistik)atau bidang lain yang relevanPendidikan S2 di bidang Data Analytics / Manajemen Operasi / Supply Chain menjadi nil...","false","<div class=""p8fjkv0 _1c8h3tw0""><p><strong>Lini Bisnis: Bahan Medis Habis Pakai (BMHP)</strong></p><p><strong>1. Kualifikasi Pendidikan</strong></p><ul><li><p>Pendidikan minimal <strong>S1</strong>:</p><ul><li><p>Teknik Industri</p></li><li><p>Statistika</p></li><li><p>Sistem Informasi</p></li><li><p>Informatika</p></li><li><p>Manajemen (konsentrasi operasional/logistik)</p></li><li><p>atau bidang lain yang relevan</p></li></ul></li><li><p>Pendidikan S2 di bidang <strong>Data Analytics / Manajemen Operasi / Supply Chain</strong> menjadi nilai tambah.</p></li></ul><hr><p><strong>2. Pengalaman Kerja</strong></p><ul><li><p>Memiliki pengalaman kerja minimal <strong>2–3 tahun</strong> sebagai:</p><ul><li><p>Data Analyst</p></li><li><p>Data Officer</p></li><li><p>Analis Operasional / Logistik</p></li><li><p>Pengolah Data Proyek</p></li></ul></li><li><p>Berpengalaman mengolah data pada sektor:</p><ul><li><p>Alat kesehatan</p></li><li><p>Bahan medis habis pakai</p></li><li><p>Rumah sakit, distributor, atau pengadaan pemerintah (nilai tambah)</p></li></ul></li></ul><hr><p><strong>3. Kompetensi Teknis Utama</strong></p><ul><li><p>Mampu melakukan <strong>pengolahan, analisis, dan visualisasi data</strong> dalam skala operasional dan bisnis.</p></li><li><p>Memahami alur bisnis <strong>BMHP</strong>: perencanaan, pengadaan, distribusi, dan penggunaan.</p></li><li><p>Menguasai:</p><ul><li><p><strong>Microsoft Excel (lanjutan)</strong>: Pivot Table, Power Query, Lookup, Dashboard</p></li><li><p><strong>Microsoft PowerPoint</strong> untuk penyajian laporan analitis</p></li></ul></li><li><p>Mampu menyusun <strong>database operasional BMHP</strong> (stok, pemakaian, kedaluwarsa, penjualan).</p></li></ul><hr><p><strong>4. Sistem &amp; Tools (Nilai Tambah)</strong></p><ul><li><p>Pengalaman menggunakan:</p><ul><li><p><strong>ERP / sistem logistik</strong> (misalnya Odoo, SAP, atau SIMRS)</p></li><li><p><strong>Business Intelligence Tools</strong> (Power BI, Tableau, Looker)</p></li></ul></li><li><p>Dasar pemrograman <strong>SQL / Python / R</strong> untuk pengolahan data menjadi nilai tambah.</p></li></ul><hr><p><strong>5. Kompetensi Analitis &amp; Bisnis</strong></p><ul><li><p>Mampu melakukan:</p><ul><li><p>Analisis tren penggunaan dan penjualan BMHP</p></li><li><p>Analisis efisiensi stok dan perputaran barang</p></li><li><p>Forecasting kebutuhan BMHP berbasis data historis</p></li></ul></li><li><p>Mampu menyajikan data menjadi <strong>rekomendasi strategis</strong> bagi manajemen.</p></li></ul><hr><p><strong>6. Kemampuan Administratif &amp; Dokumentasi</strong></p><ul><li><p>Mampu menyusun:</p><ul><li><p>Laporan periodik (harian, bulanan, tahunan)</p></li><li><p>Rekap data operasional dan bisnis</p></li><li><p>Data pendukung audit dan evaluasi proyek</p></li></ul></li><li><p>Memahami prinsip <strong>akurasi, validasi, dan keamanan data</strong>.</p></li></ul><hr><p><strong>7. Soft Skills</strong></p><ul><li><p>Teliti, sistematis, dan memiliki perhatian tinggi terhadap detail.</p></li><li><p>Mampu bekerja dengan data dalam jumlah besar dan tenggat waktu ketat.</p></li><li><p>Memiliki kemampuan komunikasi yang baik untuk menjelaskan hasil analisis kepada tim non-teknis.</p></li><li><p>Mampu bekerja secara mandiri maupun dalam tim lintas fungsi.</p></li></ul><hr><p><strong>8. Etika Kerja &amp; Kepatuhan</strong></p><ul><li><p>Menjunjung tinggi <strong>kerahasiaan dan integritas data</strong>.</p></li><li><p>Memahami kepatuhan terhadap kebijakan internal perusahaan dan regulasi sektor kesehatan.</p></li></ul><hr><p><strong>9. Persyaratan Umum</strong></p><ul><li><p>Sehat jasmani dan rohani.</p></li><li><p>Bersedia bekerja dengan sistem target dan deadline.</p></li><li><p>Bersedia ditempatkan sesuai kebutuhan lini bisnis/proyek.</p></li></ul><p><br></p></div>","89429501","Derived from Search","Jakarta Timur, Jakarta Raya","2026-01-19T05:45:27.748Z","","Rp 5.500.000 – Rp 5.700.000 per month","2026-01-19T05:45:27.748Z","https://id.jobstreet.com/id/job/89429501?type=standard&ref=search-standalone&origin=cardTitle","Tenaga Ahli Pengolah Data","On-site","Full time"
"Teknologi Informasi","Data Science","","Unknown","","Orang Tua Group","ID","Kualifikasi:S1 Statistik, Matematika, Teknik, Informatika, KomputerIPK min 3.00Terbuka untuk fresh graduate (berpengalaman lebih disukai)Menguasai Microsoft Office, SQLPenempatan: Head Office, Jakarta BaratDeskripsi Pekerjaan:Menafsirkan data, menganalisa hasil dengan teknik statistik dan memberi la...","false","<div class=""p8fjkv0 _1c8h3tw0""><p><strong>Kualifikasi:</strong></p><ul><li><p><strong>S1 Statistik, Matematika, Teknik, Informatika, Komputer</strong></p></li><li><p>IPK min <strong>3.00</strong></p></li><li><p>Terbuka untuk <em>fresh graduate</em> (berpengalaman lebih disukai)</p></li><li><p>Menguasai <strong>Microsoft Office, SQL</strong></p></li><li><p>Penempatan: <strong>Head Office, Jakarta Barat</strong></p><p><br></p></li></ul><p><strong>Deskripsi Pekerjaan:</strong></p><ul><li><p>Menafsirkan data, menganalisa hasil dengan teknik statistik dan memberi laporan</p></li><li><p>Menganalisa, mengidentifikasi, menafsirkan tren/pola dalam kumpulan data</p></li><li><p>Memperoleh &amp; memelihara database/data sistem</p></li></ul><p><br></p></div>","89437445","Derived from Search","Jakarta Raya","2026-01-19T05:45:33.063Z","","Tidak Ditampilkan","2026-01-19T05:45:33.063Z","https://id.jobstreet.com/id/job/89437445?type=standard&ref=search-standalone","Sales Data Analyst","On-site","Full time"
"Teknologi Informasi","Data Science","","Unknown","","Orang Tua Group","ID","Kualifikasi:S1 Statistik, Matematika, Teknik, Informatika, KomputerIPK min 3.00Terbuka untuk fresh graduate (berpengalaman lebih disukai)Menguasai Microsoft Office, SQLPenempatan: Head Office, Jakarta BaratDeskripsi Pekerjaan:Menafsirkan data, menganalisa hasil dengan teknik statistik dan memberi la...","false","<div class=""p8fjkv0 _1c8h3tw0""><p><strong>Kualifikasi:</strong></p><ul><li><p><strong>S1 Statistik, Matematika, Teknik, Informatika, Komputer</strong></p></li><li><p>IPK min <strong>3.00</strong></p></li><li><p>Terbuka untuk <em>fresh graduate</em> (berpengalaman lebih disukai)</p></li><li><p>Menguasai <strong>Microsoft Office, SQL</strong></p></li><li><p>Penempatan: <strong>Head Office, Jakarta Barat</strong></p><p><br></p></li></ul><p><strong>Deskripsi Pekerjaan:</strong></p><ul><li><p>Menafsirkan data, menganalisa hasil dengan teknik statistik dan memberi laporan</p></li><li><p>Menganalisa, mengidentifikasi, menafsirkan tren/pola dalam kumpulan data</p></li><li><p>Memperoleh &amp; memelihara database/data sistem</p></li></ul><p><br></p></div>","89437445","Derived from Search","Jakarta Raya","2026-01-19T05:45:38.352Z","","Tidak Ditampilkan","2026-01-19T05:45:38.352Z","https://id.jobstreet.com/id/job/89437445?type=standard&ref=search-standalone&origin=cardTitle","Sales Data Analyst","On-site","Full time"
"Teknologi Informasi","Data Science","","Unknown","","PT.Global Papua Abadi","ID","The GIS Analyst is responsible for collecting, analyzing, and managing spatial data to support business operations, planning, and decision-making processes through Geographic Information Systems (GIS).Key Responsibilities:Collect, process, and analyze geospatial and spatial dataDevelop and maintain ...","false","<div class=""p8fjkv0 _1c8h3tw0""><p>The GIS Analyst is responsible for collecting, analyzing, and managing spatial data to support business operations, planning, and decision-making processes through Geographic Information Systems (GIS).</p><p><br></p><p><strong>Key Responsibilities:</strong></p><ul><li><p>Collect, process, and analyze geospatial and spatial data</p></li><li><p>Develop and maintain GIS maps, layers, and databases</p></li><li><p>Perform spatial analysis to support planning, operations, and reporting</p></li><li><p>Update and manage geospatial data from field surveys, satellite imagery, and other sources</p></li></ul><p><br></p><p><strong>Qualifications:</strong></p><ul><li><p>Bachelor’s degree in Geography, Geomatics, GIS, Remote Sensing, or related field</p></li><li><p>Minimum 2–4 years of experience as a GIS Analyst or similar role</p></li><li><p>Proficient in GIS software (ArcGIS, QGIS, or equivalent)</p></li><li><p>Strong understanding of spatial analysis and geodatabase management</p></li><li><p>Familiarity with LiDAR will be an advantage</p></li></ul><p><br></p></div>","89712663","Derived from Search","Kabupaten Merauke, Papua Selatan","2026-01-19T05:45:44.117Z","","Tidak Ditampilkan","2026-01-19T05:45:44.117Z","https://id.jobstreet.com/id/job/89712663?type=standard&ref=search-standalone","GIS Analyst","On-site","Full time"
"Teknologi Informasi","Data Science","","Unknown","","PT Main Games Indonesia (Jakarta)","ID","Eklipse.gg is an AI‑powered clipping and editing service tailored for streamers and content creators. It scans your Twitch, YouTube, Kick, or Facebook Gaming stream VODs to automatically detect and generate highlight clips—think clutch plays, reactions, and high-action moments—then repackages them i...","false","<div class=""p8fjkv0 _1c8h3tw0""><p>Eklipse.gg is an AI‑powered clipping and editing service tailored for streamers and content creators. It scans your Twitch, YouTube, Kick, or Facebook Gaming stream VODs to automatically detect and generate highlight clips—think clutch plays, reactions, and high-action moments—then repackages them into vertical videos ready for TikTok, Instagram Reels, and YouTube Shorts.</p><p><strong>Data Analyst&nbsp;</strong></p><p><strong>Responsibilities:</strong></p><ul><li><p>Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques, and business strategies.</p></li><li><p>Assess the effectiveness and accuracy of new data sources and data-gathering techniques</p></li><li><p>Develop custom data models and algorithms to apply to data sets.</p></li><li><p>Coordinate with different functional teams to implement models and monitor outcomes.</p></li><li><p>Develop processes and tools to monitor and analyze model performance and data accuracy.</p></li></ul><p><br></p><p><strong>Requirements:</strong></p><ul><li><p>Having 2-3 years of experience manipulating data sets and building statistical models.</p></li><li><p>Having experience using Python minimal 1 year.</p></li><li><p>Education background: Bachelor's degree, but preferable from a Master's degree in Statistics, Mathematics, or another quantitative field (Fresh Graduate Welcome). GPA must be 3.00+</p></li><li><p>Young and energetic person.</p></li><li><p>Strong problem-solving skills with an emphasis on product development.</p></li><li><p>Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.</p></li><li><p>Experience working with and creating data architectures.</p></li><li><p>Deep knowledge of handling big data.</p></li><li><p>Knowledge of various machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.</p></li><li><p>Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests, proper usage, etc.) and experience with applications.</p></li><li><p>A drive to learn and master new technologies and techniques.</p></li><li><p>Adaptable to dynamic work environments.</p></li><li><p>Understanding gaming trends is a plus.</p></li></ul><p><br></p><p><strong>Note:</strong></p><ul><li><p>There is a test for every suitable candidate.</p></li><li><p>Only the candidates who pass the test will be invited to an interview session.</p></li></ul><p><br>&nbsp;</p></div>","89775936","Derived from Search","Jakarta Selatan, Jakarta Raya","2026-01-19T05:45:50.946Z","","Tidak Ditampilkan","2026-01-19T05:45:50.946Z","https://id.jobstreet.com/id/job/89775936?type=standard&ref=search-standalone","Data Analyst","On-site","Kontrak/Temporer"
"Teknologi Informasi","Data Science","","Unknown","","PT.Global Papua Abadi","ID","The GIS Analyst is responsible for collecting, analyzing, and managing spatial data to support business operations, planning, and decision-making processes through Geographic Information Systems (GIS).Key Responsibilities:Collect, process, and analyze geospatial and spatial dataDevelop and maintain ...","false","<div class=""p8fjkv0 _1c8h3tw0""><p>The GIS Analyst is responsible for collecting, analyzing, and managing spatial data to support business operations, planning, and decision-making processes through Geographic Information Systems (GIS).</p><p><br></p><p><strong>Key Responsibilities:</strong></p><ul><li><p>Collect, process, and analyze geospatial and spatial data</p></li><li><p>Develop and maintain GIS maps, layers, and databases</p></li><li><p>Perform spatial analysis to support planning, operations, and reporting</p></li><li><p>Update and manage geospatial data from field surveys, satellite imagery, and other sources</p></li></ul><p><br></p><p><strong>Qualifications:</strong></p><ul><li><p>Bachelor’s degree in Geography, Geomatics, GIS, Remote Sensing, or related field</p></li><li><p>Minimum 2–4 years of experience as a GIS Analyst or similar role</p></li><li><p>Proficient in GIS software (ArcGIS, QGIS, or equivalent)</p></li><li><p>Strong understanding of spatial analysis and geodatabase management</p></li><li><p>Familiarity with LiDAR will be an advantage</p></li></ul><p><br></p></div>","89712663","Derived from Search","Kabupaten Merauke, Papua Selatan","2026-01-19T05:45:56.351Z","","Tidak Ditampilkan","2026-01-19T05:45:56.351Z","https://id.jobstreet.com/id/job/89712663?type=standard&ref=search-standalone&origin=cardTitle","GIS Analyst","On-site","Full time"
"Teknologi Informasi","Data Science","","Unknown","","PT Main Games Indonesia (Jakarta)","ID","Eklipse.gg is an AI‑powered clipping and editing service tailored for streamers and content creators. It scans your Twitch, YouTube, Kick, or Facebook Gaming stream VODs to automatically detect and generate highlight clips—think clutch plays, reactions, and high-action moments—then repackages them i...","false","<div class=""p8fjkv0 _1c8h3tw0""><p>Eklipse.gg is an AI‑powered clipping and editing service tailored for streamers and content creators. It scans your Twitch, YouTube, Kick, or Facebook Gaming stream VODs to automatically detect and generate highlight clips—think clutch plays, reactions, and high-action moments—then repackages them into vertical videos ready for TikTok, Instagram Reels, and YouTube Shorts.</p><p><strong>Data Analyst&nbsp;</strong></p><p><strong>Responsibilities:</strong></p><ul><li><p>Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques, and business strategies.</p></li><li><p>Assess the effectiveness and accuracy of new data sources and data-gathering techniques</p></li><li><p>Develop custom data models and algorithms to apply to data sets.</p></li><li><p>Coordinate with different functional teams to implement models and monitor outcomes.</p></li><li><p>Develop processes and tools to monitor and analyze model performance and data accuracy.</p></li></ul><p><br></p><p><strong>Requirements:</strong></p><ul><li><p>Having 2-3 years of experience manipulating data sets and building statistical models.</p></li><li><p>Having experience using Python minimal 1 year.</p></li><li><p>Education background: Bachelor's degree, but preferable from a Master's degree in Statistics, Mathematics, or another quantitative field (Fresh Graduate Welcome). GPA must be 3.00+</p></li><li><p>Young and energetic person.</p></li><li><p>Strong problem-solving skills with an emphasis on product development.</p></li><li><p>Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.</p></li><li><p>Experience working with and creating data architectures.</p></li><li><p>Deep knowledge of handling big data.</p></li><li><p>Knowledge of various machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.</p></li><li><p>Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests, proper usage, etc.) and experience with applications.</p></li><li><p>A drive to learn and master new technologies and techniques.</p></li><li><p>Adaptable to dynamic work environments.</p></li><li><p>Understanding gaming trends is a plus.</p></li></ul><p><br></p><p><strong>Note:</strong></p><ul><li><p>There is a test for every suitable candidate.</p></li><li><p>Only the candidates who pass the test will be invited to an interview session.</p></li></ul><p><br>&nbsp;</p></div>","89775936","Derived from Search","Jakarta Selatan, Jakarta Raya","2026-01-19T05:46:04.391Z","","Tidak Ditampilkan","2026-01-19T05:46:04.391Z","https://id.jobstreet.com/id/job/89775936?type=standard&ref=search-standalone&origin=cardTitle","Data Analyst","On-site","Kontrak/Temporer"
"Teknologi Informasi","Data Science","","Unknown","","PT Teknologi Internasional Nusantara","ID","Job Description:- Assisting Manager to do daily, weekly, monthly activity related Collection Process- Ability to focus on details and accuracy in information processing.- Proficient in Microsoft Office and Google Sheet.- Remain up to date with industry best practice in relation to Arrears and Collec...","false","<div class=""p8fjkv0 _1c8h3tw0""><p><strong>Job Description:</strong></p><p>- Assisting Manager to do daily, weekly, monthly activity related Collection Process</p><p>- Ability to focus on details and accuracy in information processing.</p><p>- Proficient in Microsoft Office and Google Sheet.</p><p>- Remain up to date with industry best practice in relation to Arrears and Collections activities.</p><p>- Maintain a detailed understanding of all Arrears and Collections related regulation</p><p>- Assiting manager on creating new SOP or improving the existing SOP, including input as of the latest regulation.</p><p><br></p><p><strong>Qualification:</strong></p><p>- Candidate must possess at least Bachelor's/College Degree in Informatics/ System Information/ Finance/Accountancy/Banking or equivalent</p><p>- Experience in Fintech, Multifinance, or Banking at least 3 years.</p><p>- Experience in Collection or Risk Management at least 3 years</p><p>- Able to operate SQL language is a plus point.</p><p>- Good verbal and written communication skills.</p><p>- Excellent analytical skills and an eye for detail.</p><p>- Outstanding leadership and managerial skills.</p><p>- Strong time and people management skills.</p><p>- Ability to work to strict deadlines</p><p>-Willing to be placed in Jakarta / Yogyakarta</p></div>","89469509","Derived from Search","Jakarta Raya","2026-01-19T05:46:10.159Z","","Tidak Ditampilkan","2026-01-19T05:46:10.159Z","https://id.jobstreet.com/id/job/89469509?type=standard&ref=search-standalone","Data Analyst Specialist (MIS)","On-site","Full time"
"Teknologi Informasi","Data Science","","Unknown","","PT Nusantara Sakti Group (JAKARTA)","ID","Qualifications:Pendidikan minimal S1 jurusan Statistika, Matematika, Aktuaria, Ekonomi, Sistem Informasi, dan jurusan relevan lainnyaMenguasai Excel minimal intermediate , kemampuan SQL / Power BI / Tableu menjadi nilai tambahMampu menganalisa data dalam jumlah besar dan membuat forecastingKomunikat...","false","<div class=""p8fjkv0 _1c8h3tw0""><p><strong><em>Qualifications</em></strong>:</p><ul><li><p>Pendidikan minimal S1 jurusan <strong>Statistika, Matematika, Aktuaria, Ekonomi, Sistem Informasi,</strong> dan jurusan relevan lainnya</p></li><li><p>Menguasai Excel minimal intermediate , kemampuan SQL / Power BI / Tableu menjadi nilai tambah</p></li><li><p>Mampu menganalisa data dalam jumlah besar dan membuat <em>forecasting</em></p></li><li><p>Komunikatif dan <em>Detail-oriented</em></p></li><li><p>Inisiatif dan mampu bekerja lintas tim/divisi</p></li><li><p>Memiliki ketertarikan dan pemahaman tentang dunia bisnis</p></li><li><p>Memahami <em>Business Process Management</em> menjadi nilai tambah</p></li><li><p>Memiliki pengalaman sebagai <em>Data analyst </em>menjadi nilai tambah</p></li><li><p>Penempatan <strong>Jakarta Barat </strong>dan <strong>Tangerang</strong></p></li></ul><p><br></p><p><strong><em>Jobdesc</em></strong>:</p><ul><li><p>Melakukan analisa data pencapaian dan alur proses dari sebuah bisnis</p></li><li><p>Bertanggung jawab terhadap pencapaian bisnis</p></li><li><p>Mampu mengolah, menganalisa, mengintepretasi, dan memvisualisasi data sesuai bisnis/divisi yang menjadi tanggung jawab</p></li><li><p>Memberikan insight strategis dan <em>actionable </em>untuk meningkatkan efisiensi dan efektivitas</p></li><li><p>Membangun hubungan kerjasama internal dan eksternal</p></li><li><p>Mempersiapkan laporan bulanan, triwulan, dan tahunan</p></li></ul><p><br></p></div>","89406341","Derived from Search","Jakarta Barat, Jakarta Raya","2026-01-19T05:46:17.975Z","","Rp 7.000.000 – Rp 10.000.000 per month","2026-01-19T05:46:17.975Z","https://id.jobstreet.com/id/job/89406341?type=standard&ref=search-standalone","Data Analyst","On-site","Full time"
