"classifications/0/main","classifications/0/sub","company/description","company/id","company/logo","company/name","country","description","isExpiringSoon","jobDescriptionHtml","jobId","jobSearchUrl","location","postDate","postDateDisplay","salary","scrapedAt","sourceUrl","title","workArrangement","workTypes/0"
"Teknologi Informasi","Data Science","","Unknown","","PT Nusaraya Putramandiri","ID","Deskripsi Pekerjaan :Melaksanakan analisa laboratorium untuk sampel produksi (blending) dan permintaan khusus secara akurat serta tepat waktu.Melakukan pengembangan dan optimasi formulasi lab blend sesuai spesifikasi produk.Menjamin keakuratan, konsistensi, dan ketertelusuran data hasil analisa.Meng...","false","<div class=""_17igs2j0 kx2b1u0""><p><strong>Deskripsi Pekerjaan :</strong></p><ul><li><p>Melaksanakan analisa laboratorium untuk sampel produksi (blending) dan permintaan khusus secara akurat serta tepat waktu.</p></li><li><p>Melakukan pengembangan dan optimasi formulasi lab blend sesuai spesifikasi produk.</p></li><li><p>Menjamin keakuratan, konsistensi, dan ketertelusuran data hasil analisa.</p></li><li><p>Mengidentifikasi penyimpangan serta melakukan investigasi awal (analisa penyebab).</p></li><li><p>Menjaga keandalan instrumen melalui perawatan rutin dan troubleshooting dasar.</p></li><li><p>Berkontribusi dalam program peningkatan berkelanjutan (continuous improvement) di laboratorium.&nbsp;</p></li></ul><p><strong>Kualifikasi :</strong>&nbsp;</p><ul><li><p>Pendidikan minimal D3 Kimia atau bidang terkait</p></li><li><p>Pengalaman 1 – 3 tahun di laboratorium (fresh graduate dipersilakan melamar)</p></li><li><p>Memahami spesifikasi material dan produk</p></li><li><p>Mampu mengoperasikan instrumen dan metode pengujian laboratorium</p></li><li><p>Memahami standar ISO 17025 dan ISO 9001:2015</p></li><li><p>Mampu membaca dan memahami dokumen teknis berbahasa Inggris</p></li><li><p>Menguasai penggunaan MS Office (minimal Excel)</p></li><li><p>Teliti, analitis, dan memiliki integritas tinggi</p></li><li><p>Mampu bekerja di bawah tekanan dan memenuhi target waktu</p></li><li><p>Bersedia ditempatkan di area Cilegon - Banten&nbsp;</p></li></ul><p><strong>Nilai Tambah:</strong>&nbsp;</p><ul><li><p>Pengalaman di industri pelumas / kimia</p></li><li><p>Familiar dengan sistem QC / QA</p></li><li><p>Pernah terlibat dalam audit laboratorium atau sistem kalibrasi&nbsp;</p></li></ul><p><strong>Benefit/Facility :</strong></p><ul><li><p>BPJSTK &amp; BPJS Kesehatan</p></li><li><p>THR</p></li><li><p>Reimbursement Medical</p></li><li><p>Bantuan makan ( catering )</p></li></ul><p><br></p></div>","91481129","Derived from Search","Cilegon, Banten","2026-04-13T08:38:59.225Z","","Tidak Ditampilkan","2026-04-13T08:38:59.225Z","https://id.jobstreet.com/id/job/91481129?type=standard&ref=search-standalone&origin=cardTitle","Analyst Laboratory","On-site","Full time"
"Teknologi Informasi","Data Science","","Unknown","","PT Kamoro Maxima Integra","ID","Role and Responsibilities:Tackle real industry challenges by applying analytics, machine learning, and optimization solutions to copper mining operations.Use research and analytical expertise to test ideas, validate hypotheses, and uncover insights that drive resource-efficient mining.Build and scal...","false","<div class=""_17igs2j0 kx2b1u0""><p><strong>Role and Responsibilities:</strong></p><ul><li><p>Tackle real industry challenges by applying analytics, machine learning, and optimization solutions to copper mining operations.</p></li><li><p>Use research and analytical expertise to test ideas, validate hypotheses, and uncover insights that drive resource-efficient mining.</p></li><li><p>Build and scale solutions in cloud environment to deliver clear, actionable insights for leadership and operations teams.</p></li><li><p>Design, implement, and maintain data-driven tools that solve complex business problems with advanced statistical and analytical methods.<br></p></li></ul><p><strong>Requirements:</strong></p><ul><li><p><strong>Willingness to travel if required</strong> (up to 30%, primarily to mining site)</p></li><li><p><strong>Strong proficiency in English, both written and verbal.</strong></p></li><li><p>Minimum Bachelor’s degree in Statistics, Mathematics, Engineering, Physics, or a related field (more advanced degree is a plus).</p></li><li><p><strong>More than 3 years' experience </strong>working as a Data Scientist is <strong>mandatory</strong>. Proficient in Data Analysis.</p></li><li><p>Hands-on expertise in predictive modeling (e.g., Regression, Random Forest, Gradient Boosting), time series analysis, NLP, anomaly detection, or survival analysis.</p></li><li><p>Proficiency in Python and its data science stack for data analysis, visualization, and modeling.</p></li><li><p>Solid knowledge of SQL and experience with big-data platforms (Snowflake experience is a plus).</p></li><li><p>Experience with cloud-based ML tools (Azure a big plus).</p></li><li><p><strong>Proven ability to mentor, collaborate, and grow a high-performing data science team.</strong></p></li><li><p>Strategic thinker with a proven track record of transforming data into actionable insights that drive decision-making.<br></p></li></ul><p><strong>Why join Us?</strong></p><ul><li><p>We offer very<strong>&nbsp;attractive salary</strong>&nbsp;and&nbsp;<strong>outstanding benefits.</strong></p></li><li><p>Most of our clients are multinational company which you will be exposed to a large IT environment and&nbsp;<strong>valuable experience</strong>&nbsp;in&nbsp;<strong>international scale projects</strong>.</p></li><li><p>You will&nbsp;<strong>always learn new things</strong>&nbsp;as our projects always adopt latest technology and best practice available in the market.</p></li><li><p>Last but not least, we offer a supportive and encouraging environment that puts the emphasis on teamwork. Here,&nbsp;<strong>your soft skill</strong>&nbsp;(professional relationships, character, attitude)&nbsp;<strong>will grow</strong>&nbsp;as fast as your technical skill</p></li></ul><p><br></p></div>","91317020","Derived from Search","Jakarta Raya","2026-04-13T08:39:04.107Z","","Tidak Ditampilkan","2026-04-13T08:39:04.107Z","https://id.jobstreet.com/id/job/91317020?type=standard&ref=search-standalone","Data Scientist","On-site","Full time"
"Teknologi Informasi","Data Science","","Unknown","","PT ROCKSTAR SPORTS SCHOOL","ID","Job Descriptions:Perform data exploration, data cleaning, data imputation, and feature engineering on unstructured and structured data.Design, Develop and maintain report used for daily operation, management and analyticsBuild the infrastructure for optimal extraction, transformation, and loading (E...","false","<div class=""_17igs2j0 kx2b1u0""><p>Job Descriptions:</p><ul><li><p>Perform data exploration, data cleaning, data imputation, and feature engineering on unstructured and structured data.</p></li><li><p>Design, Develop and maintain report used for daily operation, management and analytics</p></li><li><p>Build the infrastructure for optimal extraction, transformation, and loading (ETL) of data from a wide variety of data sources.</p></li><li><p>Develop and maintain all data flows and prepare all ETL processes according to business requirements and incorporate all business requirements into all design specifications</p></li><li><p>Identifying, designing and implementing internal process improvements including re-designing infrastructure for greater scalability, optimizing data delivery, and automating manual processes&nbsp;</p></li><li><p>Build analytics tools that utilize the data pipeline to provide actionable insights</p></li><li><p>Explore ways to enhance data quality and reliability Explore ways to enhance data quality and reliability</p></li><li><p>Document all test procedures for systems and processes&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</p></li></ul><p><br></p><p>Job Requirements:</p><ul><li><p>Bachelor's degree from computer science or related fields, or equivalent software engineering experience.</p></li><li><p>Advanced SQL knowledge and experience working with relational databases, query authoring (SQL). Preferably on <strong>MS SQL</strong></p></li><li><p>Advanced Knowledge in reporting service tools. Preferably <strong>Microsoft SSRS</strong></p></li><li><p>Advanced Knowledge in ETL / data pipeline applications. Preferably <strong>Microsoft SSIS</strong>.</p></li><li><p>Experienced in performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.</p></li><li><p>Have an understanding and experience regarding the reporting dashboard and data warehouse concepts</p></li><li><p>Experienced in object-oriented/object function scripting languages: Python, Java, C#,C++,&nbsp;</p></li><li><p>Proficiency in source control i.e. Git.</p></li><li><p>Got 2+ years of experience in Data Engineering role.</p></li><li><p>Familiar with Azure ETL product like Azure Data Factory, Azure Synapse, Azure Datalake, Azure Devops would be a great addition.</p></li></ul><p><br></p></div>","91256964","Derived from Search","Jakarta Barat, Jakarta Raya","2026-04-13T08:39:12.668Z","","Rp 10.000.000 – Rp 15.000.000 per month","2026-04-13T08:39:12.668Z","https://id.jobstreet.com/id/job/91256964?type=standard&ref=search-standalone","Data Engineer","On-site","Full time"
"Teknologi Informasi","Data Science","","Unknown","","PT Kamoro Maxima Integra","ID","Role and Responsibilities:Tackle real industry challenges by applying analytics, machine learning, and optimization solutions to copper mining operations.Use research and analytical expertise to test ideas, validate hypotheses, and uncover insights that drive resource-efficient mining.Build and scal...","false","<div class=""_17igs2j0 kx2b1u0""><p><strong>Role and Responsibilities:</strong></p><ul><li><p>Tackle real industry challenges by applying analytics, machine learning, and optimization solutions to copper mining operations.</p></li><li><p>Use research and analytical expertise to test ideas, validate hypotheses, and uncover insights that drive resource-efficient mining.</p></li><li><p>Build and scale solutions in cloud environment to deliver clear, actionable insights for leadership and operations teams.</p></li><li><p>Design, implement, and maintain data-driven tools that solve complex business problems with advanced statistical and analytical methods.<br></p></li></ul><p><strong>Requirements:</strong></p><ul><li><p><strong>Willingness to travel if required</strong> (up to 30%, primarily to mining site)</p></li><li><p><strong>Strong proficiency in English, both written and verbal.</strong></p></li><li><p>Minimum Bachelor’s degree in Statistics, Mathematics, Engineering, Physics, or a related field (more advanced degree is a plus).</p></li><li><p><strong>More than 3 years' experience </strong>working as a Data Scientist is <strong>mandatory</strong>. Proficient in Data Analysis.</p></li><li><p>Hands-on expertise in predictive modeling (e.g., Regression, Random Forest, Gradient Boosting), time series analysis, NLP, anomaly detection, or survival analysis.</p></li><li><p>Proficiency in Python and its data science stack for data analysis, visualization, and modeling.</p></li><li><p>Solid knowledge of SQL and experience with big-data platforms (Snowflake experience is a plus).</p></li><li><p>Experience with cloud-based ML tools (Azure a big plus).</p></li><li><p><strong>Proven ability to mentor, collaborate, and grow a high-performing data science team.</strong></p></li><li><p>Strategic thinker with a proven track record of transforming data into actionable insights that drive decision-making.<br></p></li></ul><p><strong>Why join Us?</strong></p><ul><li><p>We offer very<strong>&nbsp;attractive salary</strong>&nbsp;and&nbsp;<strong>outstanding benefits.</strong></p></li><li><p>Most of our clients are multinational company which you will be exposed to a large IT environment and&nbsp;<strong>valuable experience</strong>&nbsp;in&nbsp;<strong>international scale projects</strong>.</p></li><li><p>You will&nbsp;<strong>always learn new things</strong>&nbsp;as our projects always adopt latest technology and best practice available in the market.</p></li><li><p>Last but not least, we offer a supportive and encouraging environment that puts the emphasis on teamwork. Here,&nbsp;<strong>your soft skill</strong>&nbsp;(professional relationships, character, attitude)&nbsp;<strong>will grow</strong>&nbsp;as fast as your technical skill</p></li></ul><p><br></p></div>","91317020","Derived from Search","Jakarta Raya","2026-04-13T08:39:17.760Z","","Tidak Ditampilkan","2026-04-13T08:39:17.760Z","https://id.jobstreet.com/id/job/91317020?type=standard&ref=search-standalone&origin=cardTitle","Data Scientist","On-site","Full time"
"Teknologi Informasi","Data Science","","Unknown","","PT ROCKSTAR SPORTS SCHOOL","ID","Job Descriptions:Perform data exploration, data cleaning, data imputation, and feature engineering on unstructured and structured data.Design, Develop and maintain report used for daily operation, management and analyticsBuild the infrastructure for optimal extraction, transformation, and loading (E...","false","<div class=""_17igs2j0 kx2b1u0""><p>Job Descriptions:</p><ul><li><p>Perform data exploration, data cleaning, data imputation, and feature engineering on unstructured and structured data.</p></li><li><p>Design, Develop and maintain report used for daily operation, management and analytics</p></li><li><p>Build the infrastructure for optimal extraction, transformation, and loading (ETL) of data from a wide variety of data sources.</p></li><li><p>Develop and maintain all data flows and prepare all ETL processes according to business requirements and incorporate all business requirements into all design specifications</p></li><li><p>Identifying, designing and implementing internal process improvements including re-designing infrastructure for greater scalability, optimizing data delivery, and automating manual processes&nbsp;</p></li><li><p>Build analytics tools that utilize the data pipeline to provide actionable insights</p></li><li><p>Explore ways to enhance data quality and reliability Explore ways to enhance data quality and reliability</p></li><li><p>Document all test procedures for systems and processes&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</p></li></ul><p><br></p><p>Job Requirements:</p><ul><li><p>Bachelor's degree from computer science or related fields, or equivalent software engineering experience.</p></li><li><p>Advanced SQL knowledge and experience working with relational databases, query authoring (SQL). Preferably on <strong>MS SQL</strong></p></li><li><p>Advanced Knowledge in reporting service tools. Preferably <strong>Microsoft SSRS</strong></p></li><li><p>Advanced Knowledge in ETL / data pipeline applications. Preferably <strong>Microsoft SSIS</strong>.</p></li><li><p>Experienced in performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.</p></li><li><p>Have an understanding and experience regarding the reporting dashboard and data warehouse concepts</p></li><li><p>Experienced in object-oriented/object function scripting languages: Python, Java, C#,C++,&nbsp;</p></li><li><p>Proficiency in source control i.e. Git.</p></li><li><p>Got 2+ years of experience in Data Engineering role.</p></li><li><p>Familiar with Azure ETL product like Azure Data Factory, Azure Synapse, Azure Datalake, Azure Devops would be a great addition.</p></li></ul><p><br></p></div>","91256964","Derived from Search","Jakarta Barat, Jakarta Raya","2026-04-13T08:39:25.392Z","","Rp 10.000.000 – Rp 15.000.000 per month","2026-04-13T08:39:25.392Z","https://id.jobstreet.com/id/job/91256964?type=standard&ref=search-standalone&origin=cardTitle","Data Engineer","On-site","Full time"
"Teknologi Informasi","Data Science","","Unknown","","PT Dipo Star Finance","ID","Responsibilities:Clean and analyze data to identify industry-related trends.Develop and maintain dashboards to visualize data analysis results.Collaborate with other department/branch to understand business objectives and requirements.Utilize the data analysis result to forecast industry trends and ...","false","<div class=""_17igs2j0 kx2b1u0""><p><strong>Responsibilities:</strong></p><ol><li><p>Clean and analyze data to identify industry-related trends.</p></li><li><p>Develop and maintain dashboards to visualize data analysis results.</p></li><li><p>Collaborate with other department/branch to understand business objectives and requirements.</p></li><li><p>Utilize the data analysis result to forecast industry trends and build up strategies.</p></li></ol><p><br></p><p><strong>Qualifications:</strong></p><ol><li><p>Bachelor's degree in actuary, mathematics, information system, or any related major.</p></li><li><p>Fresh graduates are welcome to apply.</p></li><li><p>Proficient in using Microsoft Office especially Ms. Excel.</p></li><li><p>Having the ability to operate other data analytic tools will be a plus.</p></li><li><p>Able to use visualization data tools such as power BI, tableau, or any other similar tools.</p></li><li><p>Willing to be placed in Head Office: Senayan, Central Jakarta.</p></li></ol><p><br></p></div>","91261624","Derived from Search","Jakarta Raya","2026-04-13T08:39:33.197Z","","Rp 5.800.000 – Rp 7.000.000 per month","2026-04-13T08:39:33.197Z","https://id.jobstreet.com/id/job/91261624?type=standard&ref=search-standalone","Data Analyst","On-site","Full time"
"Teknologi Informasi","Data Science","","Unknown","","PT. LIPPO KARAWACI TBK","ID","Data Annotation Staff (Anotasi Suara) for Artificial IntelligenceDeskripsi PekerjaanMelakukan proses anotasi, pelabelan, dan validasi data suara sesuai dengan pedoman yang telah ditentukan.Mendengarkan rekaman audio dan menginput data secara akurat ke dalam sistem.Mengikuti instruksi serta standar k...","false","<div class=""_17igs2j0 kx2b1u0""><p><strong>Data Annotation Staff (Anotasi Suara) for Artificial Intelligence</strong></p><p><strong>Deskripsi Pekerjaan</strong></p><ul><li><p>Melakukan proses anotasi, pelabelan, dan validasi data suara sesuai dengan pedoman yang telah ditentukan.</p></li><li><p>Mendengarkan rekaman audio dan menginput data secara akurat ke dalam sistem.</p></li><li><p>Mengikuti instruksi serta standar kualitas yang diberikan oleh tim supervisor.</p></li><li><p>Memastikan hasil kerja memenuhi target kuantitas dan kualitas harian.</p></li><li><p>Melaporkan kendala teknis atau ketidaksesuaian data kepada tim terkait.</p></li></ul><p><strong>Kualifikasi</strong></p><ul><li><p>Mampu mengoperasikan komputer/laptop dengan lancar (termasuk penggunaan browser, Microsoft Office/Google Docs, dan sistem berbasis web).</p></li><li><p>Memiliki kemampuan mengikuti instruksi dengan teliti dan detail.</p></li><li><p>Mampu bekerja secara disiplin, fokus, dan konsisten dalam pekerjaan yang bersifat repetitif.</p></li><li><p>Mampu bekerja di bawah tekanan serta memenuhi target waktu yang ditetapkan.</p></li><li><p>Memiliki ketelitian dan konsentrasi yang baik dalam mendengarkan audio.</p></li><li><p>Bersedia bekerja sesuai jadwal yang ditentukan (kontrak 1 bulan, WFO Senin–Jumat 08.30–17.30).</p></li></ul><p><strong>Informasi Tambahan</strong></p><ul><li><p>Lokasi kerja: Menara Matahari – Karawaci</p></li><li><p>Uang saku: Rp200.000 / hari</p></li></ul><p><br></p></div>","91261712","Derived from Search","Karawaci, Banten","2026-04-13T08:39:39.493Z","","Tidak Ditampilkan","2026-04-13T08:39:39.493Z","https://id.jobstreet.com/id/job/91261712?type=standard&ref=search-standalone","Administration for Artificial Intelligence Project","On-site","Kontrak/Temporer"
"Teknologi Informasi","Data Science","","Unknown","","PT Dipo Star Finance","ID","Responsibilities:Clean and analyze data to identify industry-related trends.Develop and maintain dashboards to visualize data analysis results.Collaborate with other department/branch to understand business objectives and requirements.Utilize the data analysis result to forecast industry trends and ...","false","<div class=""_17igs2j0 kx2b1u0""><p><strong>Responsibilities:</strong></p><ol><li><p>Clean and analyze data to identify industry-related trends.</p></li><li><p>Develop and maintain dashboards to visualize data analysis results.</p></li><li><p>Collaborate with other department/branch to understand business objectives and requirements.</p></li><li><p>Utilize the data analysis result to forecast industry trends and build up strategies.</p></li></ol><p><br></p><p><strong>Qualifications:</strong></p><ol><li><p>Bachelor's degree in actuary, mathematics, information system, or any related major.</p></li><li><p>Fresh graduates are welcome to apply.</p></li><li><p>Proficient in using Microsoft Office especially Ms. Excel.</p></li><li><p>Having the ability to operate other data analytic tools will be a plus.</p></li><li><p>Able to use visualization data tools such as power BI, tableau, or any other similar tools.</p></li><li><p>Willing to be placed in Head Office: Senayan, Central Jakarta.</p></li></ol><p><br></p></div>","91261624","Derived from Search","Jakarta Raya","2026-04-13T08:39:44.972Z","","Rp 5.800.000 – Rp 7.000.000 per month","2026-04-13T08:39:44.972Z","https://id.jobstreet.com/id/job/91261624?type=standard&ref=search-standalone&origin=cardTitle","Data Analyst","On-site","Full time"
"Teknologi Informasi","Data Science","","Unknown","","PT. LIPPO KARAWACI TBK","ID","Data Annotation Staff (Anotasi Suara) for Artificial IntelligenceDeskripsi PekerjaanMelakukan proses anotasi, pelabelan, dan validasi data suara sesuai dengan pedoman yang telah ditentukan.Mendengarkan rekaman audio dan menginput data secara akurat ke dalam sistem.Mengikuti instruksi serta standar k...","false","<div class=""_17igs2j0 kx2b1u0""><p><strong>Data Annotation Staff (Anotasi Suara) for Artificial Intelligence</strong></p><p><strong>Deskripsi Pekerjaan</strong></p><ul><li><p>Melakukan proses anotasi, pelabelan, dan validasi data suara sesuai dengan pedoman yang telah ditentukan.</p></li><li><p>Mendengarkan rekaman audio dan menginput data secara akurat ke dalam sistem.</p></li><li><p>Mengikuti instruksi serta standar kualitas yang diberikan oleh tim supervisor.</p></li><li><p>Memastikan hasil kerja memenuhi target kuantitas dan kualitas harian.</p></li><li><p>Melaporkan kendala teknis atau ketidaksesuaian data kepada tim terkait.</p></li></ul><p><strong>Kualifikasi</strong></p><ul><li><p>Mampu mengoperasikan komputer/laptop dengan lancar (termasuk penggunaan browser, Microsoft Office/Google Docs, dan sistem berbasis web).</p></li><li><p>Memiliki kemampuan mengikuti instruksi dengan teliti dan detail.</p></li><li><p>Mampu bekerja secara disiplin, fokus, dan konsisten dalam pekerjaan yang bersifat repetitif.</p></li><li><p>Mampu bekerja di bawah tekanan serta memenuhi target waktu yang ditetapkan.</p></li><li><p>Memiliki ketelitian dan konsentrasi yang baik dalam mendengarkan audio.</p></li><li><p>Bersedia bekerja sesuai jadwal yang ditentukan (kontrak 1 bulan, WFO Senin–Jumat 08.30–17.30).</p></li></ul><p><strong>Informasi Tambahan</strong></p><ul><li><p>Lokasi kerja: Menara Matahari – Karawaci</p></li><li><p>Uang saku: Rp200.000 / hari</p></li></ul><p><br></p></div>","91261712","Derived from Search","Karawaci, Banten","2026-04-13T08:39:51.260Z","","Tidak Ditampilkan","2026-04-13T08:39:51.260Z","https://id.jobstreet.com/id/job/91261712?type=standard&ref=search-standalone&origin=cardTitle","Administration for Artificial Intelligence Project","On-site","Kontrak/Temporer"
"Teknologi Informasi","Data Science","","Unknown","","PT GLOBAL LOYALTY INDONESIA","ID","Responsibilities :Analyze qualitative data, explain, suggest and provide recommendations for various business decisions through sales and purchasing data to management in accordance with business direction and strategy.Requirement :Min 1 years of experience in Qualitative Research, Customer insight,...","false","<div class=""_17igs2j0 kx2b1u0""><p><strong>Responsibilities :</strong></p><p>Analyze qualitative data, explain, suggest and provide recommendations for various business decisions through sales and purchasing data to management in accordance with business direction and strategy.</p><p><br></p><p><strong>Requirement :</strong></p><ul><li><p>Min 1 years of experience in Qualitative Research, Customer insight, or equivalent.</p></li><li><p>Experience at <strong>FGD, Interview, and other qualitative methods</strong></p></li><li><p>Good communication and interpersonal skills</p></li><li><p>Good observation skills</p></li><li><p>Excellent analytical thinking and <strong>problem solving</strong></p></li></ul><p><br></p></div>","91470181","Derived from Search","Tangerang, Banten","2026-04-13T08:39:59.429Z","","Tidak Ditampilkan","2026-04-13T08:39:59.429Z","https://id.jobstreet.com/id/job/91470181?type=standard&ref=search-standalone","Business Analyst (Qualitative Research)","On-site","Kontrak/Temporer"
